"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk2611_pilon.2",48.8992089162381,-2.37767595615288,0.623753281473764,-3.81188528665541,0.000137910880766634,0.0428855283708106,"CvsT1",66,0,70,47,54,54,53,22,20,53,24,146,54,105,36
"Acerv_evm.TU.Segkk3087_pilon.2",25.7360835517873,-2.99751841903235,0.639480375702347,-4.68742831355872,2.76659562153326e-06,0.00249491593149869,"CvsT1",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
"Acerv_evm.TU.Segkk105_pilon.25",190.481390677045,-2.382695893302,0.582612669073448,-4.08967401462673,4.31979879131452e-05,0.0194779727500372,"CvsT1",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64
"Acerv_evm.TU.Segkk4263_pilon.5",40.2083814908935,-4.04968302566781,0.691090492360324,-5.85984479664403,4.63299972537359e-09,2.08901957617095e-05,"CvsT1",30,17,10,17,20,45,23,15,15,44,10,21,22,33,13
"Acerv_evm.TU.Segkk4074_pilon.1",24.0941127377306,-2.0813968004315,0.504132344941215,-4.12867141201623,3.6486538351089e-05,0.0185355688748522,"CvsT2",56,0,21,25,41,76,19,43,23,25,21,16,26,41,8
"Acerv_evm.TU.Segkk3422_pilon.231",1318.46151976369,-6.24050026162988,1.09996905013043,-5.67334168255905,1.40038519917121e-08,6.31433686306296e-05,"CvsT2",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353
"Acerv_evm.TU.Segkk1779_pilon.5",26.2640847133377,-2.18603744157547,0.487013076270296,-4.48866272404193,7.16716662737467e-06,0.00538612572047207,"CvsT2",59,0,14,16,30,52,30,48,33,45,30,15,31,58,10
"Acerv_evm.TU.Segkk1822_pilon.2",466.93867794428,-2.71047231155233,0.614767396858236,-4.40893958496201,1.03877995787695e-05,0.00720593666164179,"CvsT2",386,10,406,368,522,938,404,1163,250,484,96,224,739,1588,352
"Acerv_evm.TU.Segkk2970_pilon.1",41.975563532881,-2.35939871572477,0.502456187295501,-4.69573024550533,2.65655938585073e-06,0.00239568525416019,"CvsT2",72,0,21,39,38,111,38,130,44,68,42,27,41,53,21
"Acerv_evm.TU.Segkk1268_pilon.21",24.826070552109,-3.22927139330695,0.638842827303318,-5.05487618439474,4.30670076124126e-07,0.000647297124414562,"CvsT2",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28
"Acerv_evm.TU.Segkk3750_pilon.2",11.5824114529519,-2.17660138205388,0.550474249619588,-3.95404759361233,7.68401142841667e-05,0.0256645981709117,"CvsT2",25,0,10,12,12,23,13,30,9,10,13,10,11,20,4
"Acerv_evm.TU.Segkk3454_pilon.211",67.8591411375182,2.24092170733801,0.530896201714022,4.22101665090671,2.43202969401089e-05,0.0137075273628689,"CvsT2",52,0,433,437,26,65,32,40,315,439,32,38,26,39,14
"Acerv_evm.TU.Segkk1157_pilon.21",112.055840930544,2.37088330180125,0.499387640702553,4.7475810544006,2.05863899561815e-06,0.00206275627360939,"CvsT2",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27
"Acerv_evm.TU.Segkk398_pilon.1",13.06873003039,-2.5009366840773,0.606217971228032,-4.12547433889345,3.69971434627788e-05,0.0185355688748522,"CvsT2",36,0,11,5,19,36,14,17,8,11,7,12,14,32,8
