"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113676766",20,11,10,10,24,25,22,23,12,5,17,15,"CvsMid"
"LOC113667488",25,104,180,156,19,60,42,122,202,238,63,22,"CvsMid"
"LOC113676407",34,140,24,42,113,141,84,167,19,25,30,49,"CvsMid"
"LOC113683627",391,236,105,109,263,268,369,389,105,82,311,54,"CvsMid"
"LOC113683802",7,17,47,139,7,14,39,16,111,95,7,3,"CvsMid"
"LOC113680629",34,13,5,19,13,25,14,11,30,7,24,22,"CvsMid"
"LOC113667816",7,4,6,31,66,95,76,30,7,9,18,75,"CvsMid"
"LOC113685295",23,6,27,20,32,35,17,24,43,45,42,75,"CvsMid"
"LOC113677294",33,13,25,19,18,30,58,45,11,33,38,44,"CvsMid"
"LOC113674242",165,92,263,174,156,218,187,170,188,264,174,221,"CvsMid"
"LOC113677206",848,671,357,1047,806,1131,1591,750,1087,1022,1041,1529,"CvsMid"
"LOC113686913",153,101,119,151,108,188,117,79,134,121,170,99,"CvsMid"
"LOC113678418",39,32,480,894,100,149,648,86,1051,1267,59,90,"CvsMid"
"LOC113670557",39,13,29,12,29,33,34,39,16,6,31,18,"CvsMid"
"LOC113664491",14,34,19,5,26,23,32,23,10,17,35,25,"CvsMid"
"LOC113670426",109,0,8,14,28,88,47,140,7,43,110,65,"CvsMid"
"LOC113668481",802,171,381,218,216,166,165,147,288,264,197,438,"CvsMid"
"LOC113670052",99,23,50,33,51,93,71,75,60,47,75,61,"CvsMid"
"LOC113664669",14,21,16,13,37,23,11,38,43,13,45,26,"CvsMid"
"LOC113676043",23,8,156,101,27,24,38,28,222,95,34,17,"CvsMid"
"LOC113669770",77,111,103,33,77,113,104,90,76,61,116,91,"CvsMid"
"LOC113673389",111,36,70,67,65,105,218,143,52,54,106,75,"CvsMid"
"LOC113665371",42,34,34,22,27,61,32,57,24,29,58,25,"CvsMid"
"LOC113666711",19,6,6,2,13,15,15,22,12,14,19,9,"CvsMid"
"LOC113670218",92,16,24,25,46,71,7,97,14,26,71,43,"CvsMid"
"LOC113682977",417,150,64,144,251,427,302,362,10,10,258,203,"CvsMid"
"LOC113666479",158,214,47,10,220,252,192,195,23,58,258,116,"CvsMid"
"LOC113678084",258,233,886,998,270,394,298,350,1044,1074,436,235,"CvsMid"
"LOC113665455",522,0,10,34,238,572,266,387,11,24,510,345,"CvsMid"
"LOC113681280",237,116,908,1493,46,430,492,143,913,996,287,80,"CvsMid"
"LOC113666401",39,7,15,7,13,57,18,38,19,31,49,13,"CvsMid"
"LOC113684177",325,205,36,13,349,237,20,386,29,56,24,290,"CvsMid"
"LOC113671656",145,81,109,105,126,218,172,157,166,144,144,83,"CvsMid"
"LOC113665701",56,49,38,29,28,58,46,87,31,38,41,25,"CvsMid"
"LOC113672624",88,46,51,14,46,76,62,62,78,32,59,31,"CvsMid"
"LOC113678445",308,57,88,74,212,528,229,258,232,302,395,235,"CvsMid"
"LOC113678090",92,56,83,60,49,68,107,130,81,71,83,61,"CvsMid"
"LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43,"CvsHigh"
"LOC1136659431",109,127,48,20,394,430,27,109,102,51,173,173,"CvsHigh"
"LOC1136735591",254,91,236,262,229,296,251,250,274,288,311,170,"CvsHigh"
"LOC113675825",42,27,41,46,33,47,53,69,74,63,50,47,"CvsHigh"
"LOC1136801681",39,75,49,40,114,173,152,71,42,28,178,14,"CvsHigh"
"LOC1136702441",62,46,4,15,40,88,42,115,25,59,41,56,"CvsHigh"
"LOC1136870931",103,33,51,65,78,141,110,135,77,88,113,71,"CvsHigh"
"LOC113664948",198,400,34,256,115,291,894,425,240,81,189,90,"CvsHigh"
"LOC1136672951",48,11,4,6,52,128,23,54,6,39,25,48,"CvsHigh"
"LOC1136686581",87,78,22,62,46,126,91,59,36,48,99,59,"CvsHigh"
"LOC1136746931",136,224,103,204,183,249,159,196,55,21,286,147,"CvsHigh"
"LOC1136841601",246,448,496,272,710,829,729,442,106,246,613,518,"CvsHigh"
"LOC113667613",591,0,740,974,38,35,37,65,932,691,56,25,"CvsHigh"
"LOC113672368",31,32,26,46,29,75,25,46,56,44,27,19,"CvsHigh"
"LOC113673159",36,32,43,40,38,48,58,37,46,68,35,25,"CvsHigh"
"LOC113677808",64,20,65,23,22,62,80,101,56,60,64,26,"CvsHigh"
"LOC113680763",34,7,190,163,16,34,39,51,139,319,41,75,"CvsHigh"
"LOC113676896",24,70,12,36,17,27,27,29,13,17,49,32,"CvsHigh"
"LOC1136858091",53,26,12,15,23,54,43,42,33,64,74,37,"CvsHigh"
"LOC113686485",119,29,378,406,100,151,77,73,344,320,197,92,"CvsHigh"
