"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113684175",22,10,8,14,8,11,16,19,10,11,12,8,"CvsHigh"
"LOC113674262",46,47,261,352,47,62,38,42,163,180,84,56,"CvsHigh"
"LOC113666077",30,17,13,5,60,135,62,75,29,34,29,45,"CvsHigh"
"LOC113674275",88,30,331,215,54,82,69,89,245,369,104,84,"CvsHigh"
"LOC113673934",174,61,993,800,197,163,177,161,765,845,390,49,"CvsHigh"
"LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158,"CvsHigh"
"LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26,"CvsHigh"
"LOC113672776",28,10,10,1,11,14,22,26,11,13,20,12,"CvsHigh"
"LOC113686444",67,35,27,33,56,30,50,88,15,15,55,51,"CvsHigh"
"LOC113676989",26,54,24,39,38,29,40,33,24,25,35,23,"CvsHigh"
"LOC113665263",34,18,21,24,32,47,35,29,18,13,48,26,"CvsHigh"
"LOC113673651",14,18,9,13,12,10,114,11,13,11,56,134,"CvsHigh"
"LOC113676944",26,25,157,181,11,46,58,63,173,171,34,23,"CvsHigh"
"LOC113674841",68,33,157,210,36,42,27,43,149,203,59,61,"CvsHigh"
"LOC113677661",84,68,8,81,124,128,202,147,55,38,93,154,"CvsHigh"
"LOC113686389",15,8,5,10,12,14,13,17,8,10,16,8,"CvsHigh"
"LOC113682566",71,75,9,13,227,33,179,44,45,35,121,162,"CvsHigh"
"LOC113664961",161,100,152,238,90,241,232,269,237,317,212,97,"CvsHigh"
"LOC113664401",47297,110592,4742,15618,77733,62370,61573,62264,4714,2417,82870,56243,"CvsHigh"
"LOC113680180",18,29,4,27,10,20,26,27,14,30,21,12,"CvsHigh"
"LOC113671323",10,18,141,463,25,58,61,20,414,424,21,35,"CvsHigh"
"LOC113683607",1622,692,3349,4117,1264,1856,950,1003,4448,4901,1964,769,"CvsHigh"
"LOC113672174",86,83,12,28,98,124,117,94,10,26,101,31,"CvsHigh"
"LOC113664340",29,17,115,185,26,34,37,32,128,96,45,37,"CvsHigh"
"LOC113686551",61,12,22,4,13,104,58,40,6,9,57,49,"CvsHigh"
"LOC113679025",91,16,1150,293,139,128,72,90,622,450,259,103,"CvsHigh"
"LOC113680549",91,23,53,25,34,121,15,203,51,5,72,67,"CvsHigh"
"LOC113673231",85,35,487,550,23,72,24,55,565,798,19,6,"CvsHigh"
"LOC113672621",121,78,79,25,79,98,92,209,91,39,170,12,"CvsHigh"
"LOC113667399",10,12,7,8,8,13,18,21,9,10,9,16,"CvsHigh"
"LOC113671440",2183,1078,10192,13926,5374,4102,3124,2078,11578,12265,3482,2639,"CvsHigh"
"LOC113664778",10,9,460,495,6,21,20,22,588,670,19,10,"CvsHigh"
"LOC113678991",67,55,52,36,16,39,109,109,50,61,64,34,"CvsHigh"
"LOC113686627",24,20,22,31,27,41,45,37,58,41,50,34,"CvsHigh"
"LOC113679585",169,105,6,29,161,185,8,37,30,26,27,55,"CvsHigh"
"LOC113678949",29,7,15,14,19,21,37,37,16,6,5,12,"CvsHigh"
"LOC113678968",60,37,24,2,30,61,42,65,26,26,63,31,"CvsHigh"
"LOC113682120",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345,"CvsHigh"
"LOC113671933",26,66,19,26,19,38,159,10,14,27,0,15,"CvsHigh"
"LOC113674987",42,36,35,80,14,92,237,75,74,57,103,63,"CvsHigh"
"LOC113680561",46,10,81,69,36,28,17,32,120,95,49,52,"CvsHigh"
"LOC113671669",183,42,541,743,123,205,47,98,435,660,282,136,"CvsHigh"
"LOC113667788",224,297,25,100,149,226,212,151,10,129,237,149,"CvsHigh"
"LOC113671517",111,235,100,99,132,151,159,149,21,146,100,144,"CvsHigh"
"LOC113681275",641,331,1992,2630,497,710,705,438,1936,2080,1215,584,"CvsHigh"
"LOC113686637",13,6,6,15,8,9,32,12,7,6,12,5,"CvsHigh"
"LOC113673289",401,0,668,450,392,6,10,8,806,831,391,256,"CvsHigh"
"LOC113684081",224,299,233,171,279,275,401,202,13,177,282,127,"CvsHigh"
"LOC113666760",52,7,152,143,9,37,25,44,155,166,47,29,"CvsHigh"
"LOC113671602",75,198,17,49,29,103,187,71,20,12,412,142,"CvsHigh"
