"","X1_2","X2_2","X4_1","X4_2","X11_1","X11_2","X28_2","X31_2","X35_2","X36_2","X38_2","X39_1","X39_2","X41_1","X41_2","X42_2","X47_2"
"pdam_00015189",525,498,1217,1132,1314,1200,469,0,673,751,662,1473,1330,1417,1299,686,467
"pdam_00009276",385,207,1410,1375,406,385,388,0,232,236,436,948,885,983,915,378,355
"pdam_00014821",346,80,698,698,880,834,301,0,541,478,380,881,879,1042,985,515,263
"pdam_00014820",70,48,233,196,300,266,54,0,109,214,77,252,202,262,226,78,77
"pdam_00014699",13,0,33,32,45,48,14,0,30,15,46,71,66,42,40,31,16
"pdam_00008348",1111,373,636,626,614,603,351,0,356,498,385,901,899,662,617,478,890
"pdam_00015987",19,9,22,17,28,23,11,0,24,10,19,41,33,38,30,18,8
"pdam_00015986",30,21,33,32,43,42,22,0,34,19,35,73,75,54,54,29,17
"pdam_00014690",260,63,393,361,630,606,153,0,429,710,483,515,499,615,579,303,312
"pdam_00014694",1483,558,3082,2875,4519,4084,1487,0,2286,1899,1742,3057,2801,3731,3448,1450,1158
"pdam_00008346",12,7,44,42,25,25,15,0,12,41,13,20,24,18,15,7,68
"pdam_00014697",356,365,776,696,427,386,449,0,398,432,477,971,858,866,747,447,320
"pdam_00022518",7,3,19,17,117,107,7,0,12,12,6,34,31,10,9,8,14
"pdam_00018221",123,138,285,259,127,109,138,0,218,80,255,604,548,439,393,238,139
"pdam_00018220",48,433,281,249,1536,1484,17,0,58,815,86,84,79,81,77,64,444
"pdam_00018223",134,86,260,219,213,160,108,0,134,118,166,292,323,329,305,137,158
"pdam_00018225",11,7,30,32,30,29,7,0,21,6,14,16,18,18,18,11,6
"pdam_00018224",340,559,945,895,600,538,268,0,370,328,474,970,870,831,742,394,262
"pdam_00018227",95,29,163,149,128,124,67,0,71,55,132,241,230,313,291,125,47
"pdam_00018226",470,115,706,732,973,981,240,0,407,286,402,995,913,1267,1188,520,375
"pdam_00014852",21,72,40,35,48,45,18,0,25,32,34,71,66,40,31,27,3
"pdam_00014851",32,26,15,22,9,13,12,0,0,22,49,19,23,24,27,18,13
"pdam_00014858",243,468,241,219,577,566,178,0,334,284,443,762,709,425,397,297,175
"pdam_00014859",247,365,659,608,284,257,313,0,182,197,289,631,565,688,609,299,200
"pdam_00008185",25,5,58,47,55,51,12,0,44,25,24,60,50,68,78,29,25
"pdam_00008187",807,576,1522,1382,2021,1922,488,0,943,858,760,1803,1645,2040,1842,1064,600
"pdam_00008186",56,10,66,62,84,82,25,0,76,56,49,110,106,179,167,51,46
"pdam_00008181",81,13,160,160,123,120,46,0,87,85,94,197,189,303,281,101,84
"pdam_00008180",58,6,88,85,74,65,40,0,53,44,66,107,108,148,140,60,38
"pdam_00008183",4370,2585,10200,9043,13654,12384,4883,0,7388,7033,4391,11886,10723,11804,10353,6951,5680
"pdam_00008182",3593,2407,7531,6673,12744,11687,2521,2,6503,4842,4236,8381,7596,11273,10151,5558,3087
"pdam_00008188",116,87,166,185,327,318,66,0,293,207,199,275,288,269,283,188,74
"pdam_00018781",41,16,84,78,37,41,14,0,40,15,57,106,97,64,57,35,34
"pdam_00013589",63,6,180,168,209,185,46,0,84,40,64,189,190,242,225,67,82
"pdam_00013580",733,951,2068,1888,1434,1297,663,0,687,634,740,1830,1556,1535,1337,919,544
"pdam_00013583",86,75,270,246,200,199,70,0,61,115,108,160,164,183,170,84,55
"pdam_00013582",541,168,1082,971,1557,1428,469,0,770,606,655,1321,1188,1441,1268,678,324
"pdam_00018351",61,25,110,105,126,118,46,0,74,83,70,119,108,147,131,61,38
"pdam_00018350",116,36,247,228,311,275,122,0,238,145,137,311,293,361,327,173,75
"pdam_00018353",112,21,197,175,110,99,135,0,177,45,147,359,316,326,298,154,98
"pdam_00018352",354,269,1045,918,552,496,393,0,474,320,405,947,847,880,768,429,275
"pdam_00018354",68,31,142,131,70,64,45,0,68,47,69,123,112,115,100,69,44
"pdam_00018357",340,130,684,626,451,412,312,0,419,265,386,772,702,728,668,325,235
"pdam_00018356",236,91,478,428,330,283,214,0,221,172,225,541,487,472,402,225,141
"pdam_00018359",89,36,223,201,118,109,68,0,107,82,162,245,236,329,312,123,93
"pdam_00018358",82,45,159,150,137,131,87,0,178,125,132,249,236,290,258,115,88
"pdam_00009298",346,80,528,518,313,308,255,0,271,267,368,643,634,757,689,286,223
"pdam_00009299",1638,471,3329,3141,3056,2887,1312,0,2362,1710,1747,4155,3953,4538,4216,1895,1051
"pdam_00009292",97,40,176,181,215,215,67,0,125,85,164,268,265,263,266,135,71
"pdam_00009293",8351,9370,21606,19650,11756,10538,6983,3,7567,6655,8373,19164,17520,16523,14946,9571,6848
"pdam_00009290",28,7,130,111,175,153,27,0,32,37,33,78,70,119,103,59,53
"pdam_00009291",251,183,510,448,435,396,222,0,263,242,286,546,515,647,565,317,165
"pdam_00009296",487,239,783,703,677,556,496,0,558,455,516,1193,1068,1057,944,538,294
"pdam_00009297",118,66,164,148,136,131,76,0,106,91,116,230,192,235,197,86,60
"pdam_00009294",672,202,2264,2090,1302,1211,676,2,844,440,796,1919,1825,2022,1829,946,182
"pdam_00009295",274,314,737,695,357,321,319,0,268,268,379,735,676,597,542,343,202
"pdam_00019848",55,32,81,85,77,70,18,0,48,65,86,64,63,153,141,46,52
"pdam_00019849",169,203,250,227,262,230,173,0,198,228,223,334,316,325,297,175,107
"pdam_00006680",94,53,231,213,115,114,70,0,78,106,147,243,242,276,260,113,87
"pdam_00006682",139,73,263,241,423,405,78,0,198,201,177,356,349,421,376,194,119
"pdam_00006683",1136,342,2854,2529,2679,2357,1174,0,1785,1443,1180,3105,2859,3013,2640,1511,1026
"pdam_00025958",83,38,58,55,137,116,42,0,68,105,76,110,125,134,127,71,57
"pdam_00024214",226,192,323,309,377,332,147,0,165,321,288,336,320,341,287,221,289
"pdam_00023268",520,665,1088,1020,1148,1045,342,0,560,564,625,1043,1000,1160,1029,525,288
"pdam_00016086",161,47,277,250,194,195,103,0,117,120,203,299,291,287,261,140,71
"pdam_00023263",21,7,48,45,30,23,13,0,24,20,17,38,35,65,58,32,10
"pdam_00023262",27,18,47,40,29,22,21,0,34,27,31,67,53,60,48,29,23
"pdam_00023265",11,4,15,12,17,19,7,0,9,6,15,19,18,20,16,8,6
"pdam_00023264",9,14,27,27,25,26,7,0,6,15,13,22,22,32,25,8,9
"pdam_00020669",363,73,587,549,576,550,231,0,385,255,419,800,753,1093,1002,391,248
"pdam_00020666",45,18,79,70,142,133,31,0,71,53,50,116,106,123,110,61,16
"pdam_00020667",113,27,223,201,231,212,98,0,174,125,106,245,199,272,210,127,76
"pdam_00020664",98,90,328,324,311,301,72,0,100,143,176,338,311,357,336,179,123
"pdam_00020665",157,45,401,378,586,542,116,0,196,205,214,499,484,523,479,195,122
"pdam_00020663",79,36,138,130,143,122,39,0,65,42,92,175,172,169,150,79,50
"pdam_00015194",514,28,184,161,139,108,383,0,416,41,219,1918,1748,1597,1349,918,39
"pdam_00015195",193,48,549,481,408,359,154,0,254,211,223,446,409,458,423,210,158
"pdam_00015196",283,383,760,686,641,573,264,0,296,295,404,829,785,818,743,440,231
"pdam_00015197",505,201,1041,924,1225,1106,368,0,820,667,505,1280,1139,1324,1162,645,419
"pdam_00015190",353,528,477,425,540,478,329,0,514,304,425,1068,945,1134,1049,519,298
"pdam_00015192",127,91,240,208,367,339,91,0,220,132,145,390,363,426,390,197,102
"pdam_00015193",23,34,54,52,45,44,16,0,39,20,24,90,97,75,65,48,16
"pdam_00015198",21,4,53,70,63,64,10,0,40,27,31,67,79,55,50,27,16
"pdam_00015199",103,14,210,197,177,186,58,0,98,120,104,171,180,272,264,95,72
"pdam_00025762",60,31,194,161,47,32,53,0,54,38,110,121,103,105,84,69,37
"pdam_00022751",43,37,91,86,178,191,43,0,40,20,38,108,113,101,89,61,28
"pdam_00004853",44,26,70,71,103,99,25,0,51,43,60,121,117,142,129,51,33
"pdam_00004850",113,55,141,131,234,225,68,0,104,114,103,324,326,240,216,97,53
"pdam_00022752",41,51,57,59,101,92,37,0,44,36,61,48,46,51,38,68,25
"pdam_00014862",20,11,103,104,180,158,12,0,23,139,15,31,31,24,17,19,78
"pdam_00014861",48,23,34,30,98,95,12,0,38,60,54,59,57,99,85,33,25
"pdam_00014866",70,23,107,87,37,42,58,0,66,29,86,159,133,171,168,64,24
"pdam_00015998",286,204,804,739,901,806,318,0,516,435,315,903,858,895,806,413,285
"pdam_00015999",15,11,23,20,32,37,11,0,13,20,30,35,40,41,40,20,16
"pdam_00015991",41,59,106,87,73,71,45,0,37,36,55,102,97,128,114,64,35
"pdam_00015992",142,69,280,270,186,179,118,0,144,96,189,438,424,350,328,202,94
"pdam_00022011",35,10,55,60,55,54,11,0,24,28,38,68,68,75,72,26,17
"pdam_00022010",113,50,312,300,153,145,82,0,87,111,184,318,309,327,307,146,115
"pdam_00013590",32,14,128,115,9,11,19,0,30,16,34,127,120,113,91,35,14
"pdam_00018346",96,46,326,316,162,153,71,0,78,65,90,226,222,261,256,134,66
"pdam_00018347",2123,802,6072,5724,5658,5351,1271,0,3596,2317,2249,5241,4971,6227,5782,3123,1855
"pdam_00018345",295,117,713,674,921,827,250,0,515,496,309,788,718,905,820,377,277
"pdam_00018348",365,63,710,695,707,726,173,0,565,312,315,895,885,961,893,469,265
"pdam_00018349",894,325,2043,1861,2564,2343,815,0,1535,1230,893,2413,2199,2305,2118,1288,658
"pdam_00011623",771,633,1493,1314,886,805,658,0,701,546,837,1854,1735,1670,1523,814,579
"pdam_00011626",34,9,46,35,72,69,25,0,59,34,35,39,44,64,53,30,39
"pdam_00011624",24,0,47,46,38,41,18,0,36,26,61,89,89,94,92,30,28
"pdam_00023301",321,228,612,569,1318,1248,343,0,359,319,256,542,548,800,729,122,430
"pdam_00007414",15,7,12,9,15,13,4,0,14,10,21,26,22,24,17,11,9
"pdam_00007415",9,6,16,16,51,49,8,0,17,24,15,25,21,24,24,9,27
"pdam_00007413",70,11,98,101,51,51,35,0,30,30,62,101,101,126,119,72,59
"pdam_00007411",317,711,1174,1086,436,401,390,0,304,311,442,907,834,960,890,432,302
"pdam_00021259",39,32,128,114,65,61,42,0,44,59,43,119,117,94,92,51,35
"pdam_00021257",151,61,312,271,404,370,115,0,274,165,166,388,354,405,384,189,93
"pdam_00024370",72,14,33,30,109,91,32,0,86,57,114,148,139,208,198,105,55
"pdam_00020875",191,146,386,366,330,315,139,0,222,168,218,431,413,432,383,229,112
"pdam_00022750",73,24,174,111,396,387,68,0,129,142,63,234,225,247,240,68,0
"pdam_00020873",208,88,277,250,293,262,208,0,323,228,245,487,418,504,413,278,168
"pdam_00020303",8,8,31,32,11,9,9,0,14,14,10,15,15,20,10,10,24
"pdam_00020879",28,7,22,14,26,22,23,0,36,0,16,32,29,36,24,35,18
"pdam_00015297",70,65,275,248,392,363,54,0,50,77,93,300,281,222,194,112,58
"pdam_00015294",102,24,260,249,335,302,102,0,147,170,140,290,266,356,324,147,141
"pdam_00015291",25,40,59,54,65,56,24,0,27,41,40,97,75,60,49,36,22
"pdam_00015298",474,216,1314,1246,1457,1330,758,0,608,668,509,1604,1528,1216,1098,682,403
"pdam_00004844",59,90,180,136,181,168,54,0,76,47,61,178,143,189,162,79,49
"pdam_00004845",58,39,122,104,116,109,34,0,75,80,50,153,141,121,107,73,52
"pdam_00004840",36,10,36,32,44,48,20,0,35,34,29,68,70,81,67,32,17
"pdam_00004843",66,19,138,130,115,104,45,0,71,51,41,135,131,172,160,66,38
"pdam_00004848",36,7,66,62,64,62,37,0,46,39,57,95,80,140,134,45,31
"pdam_00004849",56,61,127,135,309,278,57,0,70,118,81,219,190,180,175,86,73
"pdam_00008321",50,2,106,110,106,114,19,0,42,45,61,96,98,166,163,53,46
"pdam_00008320",654,376,1174,1042,1309,1176,522,0,708,579,654,1444,1286,1479,1305,713,437
"pdam_00008323",91,56,213,210,296,274,26,0,115,138,123,189,197,297,257,92,138
"pdam_00015279",60,31,298,311,351,381,54,0,120,181,92,187,204,211,241,105,120
"pdam_00015278",254,71,471,468,602,618,132,0,457,319,310,631,638,671,664,373,175
"pdam_00008327",291,169,505,471,279,257,241,0,243,203,301,515,470,547,493,250,166
"pdam_00008326",508,147,1405,1300,1607,1503,637,0,935,706,536,1502,1399,1390,1250,763,458
"pdam_00015275",167,66,363,329,162,160,109,0,108,132,218,298,269,345,301,170,118
"pdam_00015277",54,21,62,51,117,98,53,0,119,59,64,156,144,162,135,80,34
"pdam_00015271",60,65,120,119,120,116,47,0,64,46,81,155,160,188,182,56,39
"pdam_00019229",26,25,57,49,58,54,0,0,25,29,42,81,77,69,67,36,28
"pdam_00014877",56,56,82,74,62,52,50,0,65,57,56,141,128,119,105,69,39
"pdam_00015878",27,0,64,57,97,79,16,0,36,39,29,69,73,78,86,22,64
"pdam_00015873",86,50,192,177,303,294,63,0,74,152,88,167,144,177,170,73,27
"pdam_00015871",180,38,213,207,293,264,135,0,256,153,210,391,344,340,288,220,90
"pdam_00015877",209,141,387,347,487,429,90,0,204,187,172,369,338,356,324,221,187
"pdam_00015948",109,25,191,183,233,228,70,0,125,120,134,219,212,272,241,118,76
"pdam_00008149",126,38,440,405,594,549,135,0,312,156,134,465,435,482,443,207,104
"pdam_00015946",201,249,550,525,555,550,150,0,274,255,315,523,469,598,571,264,191
"pdam_00013431",399,340,815,732,769,699,469,0,528,528,511,1169,1102,1043,927,606,378
"pdam_00013430",937,778,2435,2230,1504,1338,1074,2,1323,829,972,2801,2537,2414,2166,1432,793
"pdam_00013433",74,25,142,140,158,177,33,0,64,58,65,159,178,197,189,52,40
"pdam_00013434",165,112,227,229,275,247,112,0,153,143,184,387,386,370,340,180,88
"pdam_00022008",53,22,218,208,353,322,49,0,66,55,32,198,186,227,215,73,40
"pdam_00022009",40,25,54,50,73,69,30,0,40,30,46,82,70,77,63,48,23
"pdam_00012238",61,22,197,174,429,375,37,0,74,105,71,170,155,182,159,108,80
"pdam_00012239",323,66,341,335,562,524,171,0,711,322,275,784,754,601,560,149,213
"pdam_00015869",309,131,564,514,368,353,194,0,257,229,353,553,520,538,497,347,69
"pdam_00011617",77,99,191,177,69,60,76,0,58,58,83,174,156,175,160,76,43
"pdam_00011616",295,290,783,802,556,545,283,0,313,285,382,904,888,812,745,416,212
"pdam_00011615",337,212,671,648,369,350,249,0,241,316,452,800,745,781,716,391,222
"pdam_00011614",62,11,68,67,104,99,31,0,60,53,50,118,110,171,159,59,35
"pdam_00011613",125,63,233,235,311,298,87,0,165,139,157,349,363,375,351,135,99
"pdam_00011611",195,92,245,243,398,354,102,0,160,178,196,308,288,404,359,213,97
"pdam_00011610",82,38,277,253,330,307,99,0,94,72,78,211,219,346,321,112,117
"pdam_00011619",88,131,202,182,174,155,109,0,98,83,124,241,202,235,198,118,71
"pdam_00011618",102,123,274,273,76,73,112,0,82,90,144,227,197,204,208,102,75
"pdam_00018809",121,104,230,225,347,341,75,0,205,147,147,436,425,379,360,174,88
"pdam_00018805",135,110,295,272,277,260,82,0,134,107,160,346,335,355,323,158,109
"pdam_00018807",843,654,2438,2218,3648,3346,643,0,860,596,617,2623,2358,2623,2367,1260,630
"pdam_00018803",49,22,100,93,62,58,24,0,49,45,59,164,160,97,95,50,31
"pdam_00018802",166,81,59,50,231,226,73,0,244,117,277,444,404,442,394,181,42
"pdam_00006635",113,47,245,229,333,331,102,0,205,133,114,388,353,343,310,137,76
"pdam_00011767",28,20,62,61,72,76,20,0,28,39,34,84,90,107,97,21,18
"pdam_00011769",125,49,173,149,239,226,84,0,159,114,190,252,235,329,290,142,67
"pdam_00011768",227,56,420,418,373,334,180,0,223,188,280,483,433,625,549,215,163
"pdam_00007422",90,120,234,222,109,98,103,0,109,94,137,268,246,275,253,144,71
"pdam_00007421",567,163,1474,1329,1384,1234,517,0,663,750,591,1119,1023,1513,1315,657,520
"pdam_00007420",147,71,247,222,194,184,92,0,124,138,191,290,273,325,310,136,96
"pdam_00007427",244,121,436,412,513,481,141,0,190,267,285,404,385,459,402,232,168
"pdam_00007426",74,0,174,184,136,150,55,0,149,58,80,287,287,188,176,112,68
"pdam_00007425",14,12,34,32,28,25,20,0,14,16,25,41,44,30,28,20,6
"pdam_00007428",142,198,387,333,287,259,131,0,145,117,178,368,341,385,332,163,114
"pdam_00020872",100,40,190,160,244,213,117,0,224,122,112,293,257,302,271,169,90
"pdam_00020880",182,95,271,270,282,255,94,0,128,125,199,275,260,347,354,169,79
"pdam_00015280",81,90,193,187,169,143,69,0,120,101,101,237,222,215,196,111,84
"pdam_00015283",129,72,286,295,299,299,94,0,163,149,164,364,365,375,351,180,124
"pdam_00015284",173,141,399,349,344,307,211,0,185,171,200,537,483,484,432,202,150
"pdam_00015287",25,21,61,59,52,52,19,0,43,28,33,63,57,70,59,40,18
"pdam_00015288",197,150,803,747,536,469,229,0,191,175,424,765,701,377,350,194,164
"pdam_00015289",270,90,331,310,603,552,203,0,367,308,304,548,502,684,562,307,131
"pdam_00004831",312,288,909,813,797,728,288,0,298,432,444,850,761,715,630,330,355
"pdam_00004830",754,150,1202,1185,1760,1693,502,0,1063,765,780,1959,1898,2135,1992,999,581
"pdam_00004832",119,37,146,132,153,142,75,0,108,128,126,173,148,229,198,112,77
"pdam_00004837",279,33,427,389,254,234,171,0,164,215,313,438,406,543,488,289,167
"pdam_00004836",55,9,69,69,123,119,32,0,46,52,43,85,89,93,85,43,30
"pdam_00004839",12,6,19,18,41,42,15,0,19,15,20,39,39,82,85,35,12
"pdam_00004838",375,163,466,454,613,597,135,0,371,252,471,719,736,887,892,433,265
"pdam_00008330",232,182,459,425,453,391,165,0,256,243,265,496,462,564,499,224,125
"pdam_00008337",44,20,46,45,81,83,17,0,55,53,54,51,52,125,114,47,38
"pdam_00008335",143,111,320,297,341,309,80,0,198,161,162,357,325,347,315,166,106
"pdam_00008338",352,119,626,587,1048,962,375,0,695,406,338,972,902,1176,1088,585,277
"pdam_00018210",28,81,126,99,92,80,29,0,56,73,38,56,46,64,61,38,23
"pdam_00018213",353,89,845,770,880,833,355,0,629,543,405,907,835,1168,1035,430,289
"pdam_00018214",60,28,80,78,83,73,0,0,73,35,80,179,184,190,185,95,50
"pdam_00018216",107,29,241,224,168,142,126,0,206,103,121,325,260,307,269,145,78
"pdam_00018217",53,34,81,82,86,82,31,0,54,29,60,103,98,122,109,57,18
"pdam_00018218",65,50,174,160,302,287,51,0,55,106,87,167,161,178,165,82,77
"pdam_00018219",45,52,174,161,266,255,20,0,26,228,31,50,48,40,38,14,19
"pdam_00016092",405,402,732,641,321,305,176,0,513,153,661,1379,1303,998,947,523,175
"pdam_00025326",33,15,71,68,56,52,29,0,49,45,54,81,65,96,78,40,35
"pdam_00016094",43,261,145,127,435,375,24,0,65,160,73,222,213,120,113,53,45
"pdam_00023187",115,59,19,23,24,25,79,0,114,95,121,12,15,26,23,92,64
"pdam_00014808",151,191,366,352,325,306,128,0,167,185,177,409,375,427,403,180,127
"pdam_00016096",518,180,681,618,997,896,282,0,768,463,498,1301,1126,1691,1504,702,254
"pdam_00023185",298,256,608,573,1104,1018,219,0,370,411,354,755,678,877,781,410,204
"pdam_00014807",93,33,147,140,90,79,34,0,34,71,77,116,113,167,152,47,68
"pdam_00014806",43,38,34,40,82,84,23,0,31,41,31,108,98,108,95,39,32
"pdam_00025216",250,252,592,509,1193,892,293,0,499,531,275,659,562,646,535,455,293
"pdam_00025217",471,176,749,736,1424,1439,272,0,818,519,548,1115,1060,1430,1364,784,452
"pdam_00025218",332,90,719,704,873,896,299,0,583,271,301,857,868,1029,985,478,141
"pdam_00025219",45,10,32,27,68,71,19,0,57,26,46,79,87,100,96,35,29
"pdam_00013422",469,156,1054,960,1490,1357,502,0,841,549,407,1357,1230,1303,1179,693,373
"pdam_00013421",311,111,672,610,663,634,336,0,468,344,304,889,837,949,883,412,242
"pdam_00013426",186,46,449,430,486,471,147,0,289,248,193,491,467,544,501,222,166
"pdam_00013427",247,81,516,494,861,855,242,0,474,453,287,846,817,891,847,349,220
"pdam_00013425",281,51,564,520,266,266,214,0,195,160,261,458,438,517,470,235,199
"pdam_00013428",213,66,351,367,615,639,102,0,294,265,235,510,556,717,697,256,166
"pdam_00013429",250,64,451,420,431,414,181,0,179,196,220,490,470,584,530,206,179
"pdam_00018360",275,135,480,435,300,279,233,0,321,247,311,589,540,613,550,260,157
"pdam_00018361",425,491,484,445,530,480,281,0,813,1052,1005,698,625,613,560,295,335
"pdam_00018362",200,54,498,496,316,322,168,0,153,182,236,474,485,509,462,181,138
"pdam_00014693",171,53,404,400,491,515,170,0,227,168,164,487,504,553,509,210,143
"pdam_00022672",128,23,245,230,95,96,114,0,135,78,147,353,320,322,288,138,83
"pdam_00013558",9,18,19,20,71,68,0,0,20,48,36,45,51,32,39,21,47
"pdam_00013559",92,46,287,286,219,199,45,0,69,77,171,317,312,259,242,70,56
"pdam_00013557",73,14,99,99,161,151,54,0,129,81,84,165,153,223,218,106,57
"pdam_00011605",67,29,119,113,122,133,36,0,51,57,69,125,113,201,196,56,38
"pdam_00011606",832,276,1617,1508,980,928,774,0,701,707,987,1779,1656,2045,1844,914,573
"pdam_00011607",2060,1042,5063,4602,6953,6502,2173,0,3440,2880,2093,5806,5236,6026,5305,2982,2398
"pdam_00011608",175,123,383,354,376,329,129,0,192,231,224,465,427,472,424,162,146
"pdam_00011609",110,51,272,249,345,294,68,0,98,117,93,268,248,232,219,114,66
"pdam_00018814",11,10,0,13,28,24,13,0,18,19,18,26,19,36,30,16,15
"pdam_00018813",7,11,9,8,19,14,11,0,10,11,10,18,14,17,15,13,0
"pdam_00018810",41,68,111,109,151,132,30,0,56,74,69,101,103,95,96,65,46
"pdam_00011775",149,113,331,302,268,257,138,0,105,143,211,359,322,378,320,163,126
"pdam_00011776",1039,445,1830,1671,3064,2790,891,2,1753,1017,869,2577,2344,2857,2580,1502,830
"pdam_00011777",120,55,182,179,272,226,99,0,195,129,146,288,257,380,342,193,43
"pdam_00011770",27,10,50,43,62,56,14,0,31,15,29,39,40,86,80,33,15
"pdam_00011771",192,102,479,428,534,455,239,0,311,273,204,537,500,494,405,259,180
"pdam_00011773",138,26,161,147,195,180,100,0,209,112,159,397,363,368,343,190,103
"pdam_00020410",17,36,64,67,105,106,13,0,19,37,18,33,36,40,34,26,21
"pdam_00020413",169,221,318,278,295,266,130,0,207,167,188,373,323,372,343,182,104
"pdam_00020412",218,131,475,434,352,327,125,0,188,187,308,590,606,520,468,270,143
"pdam_00020415",142,81,329,276,207,199,105,0,119,146,178,338,304,306,269,165,120
"pdam_00020414",1585,2929,3474,3222,1507,1343,1519,0,1373,1474,2100,3522,3320,3413,3110,1912,1120
"pdam_00023477",52,29,120,110,136,121,46,0,69,72,73,115,117,175,152,59,21
"pdam_00009269",131,42,286,256,295,276,160,0,283,132,149,472,438,482,437,206,92
"pdam_00009268",56,19,96,87,86,64,37,0,73,45,38,106,91,122,113,56,31
"pdam_00011802",590,511,920,851,1111,1010,473,0,683,587,752,1634,1525,1395,1266,747,447
"pdam_00011803",35,12,47,51,52,50,15,0,25,23,58,67,60,109,98,44,28
"pdam_00011800",14,14,17,16,47,47,16,0,9,48,21,11,14,21,21,14,20
"pdam_00011801",128,114,189,166,238,218,54,0,94,147,200,292,274,174,153,91,64
"pdam_00007434",73,7,136,144,138,146,52,0,110,97,87,205,223,260,256,99,70
"pdam_00007430",12,7,21,18,10,9,18,0,24,10,24,49,39,39,31,27,19
"pdam_00007432",772,298,1080,986,1074,986,751,0,701,663,771,1800,1638,1628,1507,899,460
"pdam_00004822",96,37,195,173,115,113,49,0,72,82,140,177,185,192,176,84,64
"pdam_00004820",125,41,137,141,75,74,43,0,93,88,206,249,242,316,320,114,202
"pdam_00004821",218,92,203,189,266,262,115,0,202,207,251,387,404,385,379,252,110
"pdam_00004827",161,170,408,382,425,405,153,0,226,192,215,446,396,461,411,225,144
"pdam_00004824",53,79,140,132,84,84,41,0,73,46,68,162,161,159,135,82,49
"pdam_00018772",129,75,166,162,204,193,46,0,120,113,152,238,249,317,287,124,63
"pdam_00018770",148,87,459,420,176,163,147,0,126,98,215,420,396,412,370,213,132
"pdam_00018777",54,74,97,88,123,102,52,0,78,80,167,142,136,154,140,95,61
"pdam_00018775",61,85,130,121,137,120,63,0,81,77,91,207,185,180,177,91,54
"pdam_00018774",105,27,153,148,101,93,92,0,85,69,110,156,155,206,197,122,67
"pdam_00025044",59,54,120,91,88,79,66,0,61,59,76,168,139,123,110,88,89
"pdam_00025043",49,24,49,40,93,92,17,0,32,42,56,60,69,70,70,0,36
"pdam_00014818",110,58,182,168,159,147,96,0,181,95,116,287,281,281,259,142,58
"pdam_00014812",98,154,173,148,268,246,56,0,107,123,114,216,183,207,191,117,56
"pdam_00014813",105,90,50,43,134,135,88,0,99,112,136,210,208,201,193,113,65
"pdam_00014816",30,22,41,39,46,43,33,0,37,20,20,82,70,61,55,38,18
"pdam_00014817",97,43,173,160,169,165,91,0,170,77,100,234,222,229,210,104,62
"pdam_00022665",13,0,33,28,31,31,14,0,17,23,14,47,48,30,30,18,16
"pdam_00022666",111,80,406,432,1447,1407,99,0,96,151,119,528,556,411,403,317,182
"pdam_00015211",258,208,545,510,448,401,203,0,204,225,324,482,433,539,504,263,180
"pdam_00022662",87,28,164,161,150,156,62,0,127,98,107,170,177,234,231,93,66
"pdam_00022663",337,33,374,338,413,400,177,0,250,277,372,524,498,677,629,326,194
"pdam_00015210",145,132,250,230,227,202,100,0,112,145,181,306,272,311,280,145,108
"pdam_00022669",170,116,289,274,331,283,106,0,198,179,153,343,294,401,354,169,178
"pdam_00013569",74,59,198,185,135,138,90,0,99,70,75,226,207,192,182,120,67
"pdam_00013568",74,6,142,149,114,118,45,0,66,89,100,119,104,228,221,88,71
"pdam_00013563",1567,400,2069,1835,3160,2757,1740,0,2073,1591,1092,5134,4623,4700,4109,1731,1651
"pdam_00013561",168,94,288,241,319,293,123,0,188,197,171,265,248,294,246,148,101
"pdam_00013560",46,23,149,137,53,50,24,0,39,34,52,80,78,80,76,29,47
"pdam_00013567",474,313,1317,1185,844,738,587,0,445,407,406,1227,1110,996,842,526,314
"pdam_00013566",173,209,500,457,450,413,129,0,216,253,238,544,498,488,439,258,134
"pdam_00008128",39,46,89,86,70,68,36,0,26,49,43,101,103,72,64,39,34
"pdam_00013419",243,171,464,400,531,472,290,0,374,269,264,813,730,684,593,303,140
"pdam_00013418",425,162,294,269,704,635,361,0,438,326,385,884,790,935,821,497,89
"pdam_00013416",57,16,125,130,81,74,28,0,50,56,92,105,106,179,174,53,63
"pdam_00013414",142,38,256,238,186,155,67,0,96,92,129,206,191,299,279,121,102
"pdam_00013413",22,6,39,37,33,34,9,0,16,26,30,28,25,27,22,13,15
"pdam_00013410",35,12,109,99,90,77,21,0,47,34,36,66,58,99,94,30,40
"pdam_00015961",3055,2786,10406,9825,13617,12992,3041,0,3909,4695,2889,8386,7792,10000,9292,3878,3887
"pdam_00015960",139,113,283,278,232,232,138,0,183,185,169,430,433,357,337,185,147
"pdam_00009300",120,28,199,183,169,159,62,0,117,94,154,265,270,317,301,100,82
"pdam_00021836",61,32,168,156,74,74,29,0,51,46,110,119,115,149,149,71,68
"pdam_00015965",203,81,388,384,574,512,69,0,203,370,268,359,372,470,415,218,242
"pdam_00021831",137,203,291,277,358,338,84,0,138,144,187,284,279,306,295,176,89
"pdam_00021832",99,105,181,188,223,221,66,0,92,101,146,201,176,235,207,127,73
"pdam_00015966",113,68,247,222,382,367,78,0,133,231,122,234,215,249,226,155,197
"pdam_00020409",38,19,60,42,60,67,29,0,49,42,52,110,101,109,95,45,40
"pdam_00020406",19,11,32,27,61,59,28,0,32,21,16,73,67,61,56,21,21
