Orthogroup	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins	Total
OG0004624	1	2	1	2	1	7
OG0004625	2	1	2	1	1	7
OG0004626	1	1	1	3	1	7
OG0004627	1	1	2	2	1	7
OG0004628	1	3	1	1	1	7
OG0004629	1	2	2	1	1	7
OG0004630	1	2	1	2	1	7
OG0004631	1	1	1	0	4	7
OG0004632	1	2	2	1	1	7
OG0004633	2	2	1	1	1	7
OG0004634	1	1	1	2	2	7
OG0004635	1	1	1	3	1	7
OG0004636	6	0	0	1	0	7
OG0004637	1	2	1	1	2	7
OG0004638	1	2	1	2	1	7
OG0004639	1	0	0	5	1	7
OG0004640	1	2	1	1	2	7
OG0004641	1	3	1	1	1	7
OG0004642	1	1	1	3	1	7
OG0004643	1	1	2	2	1	7
OG0004644	1	1	3	1	1	7
OG0004645	1	1	1	3	1	7
OG0004646	1	1	2	2	1	7
OG0004647	1	2	1	2	1	7
OG0004648	1	3	1	1	1	7
OG0004649	1	1	2	2	1	7
OG0004650	1	2	2	1	1	7
OG0004651	2	2	1	1	1	7
OG0004652	2	0	1	0	4	7
OG0004653	1	4	0	1	1	7
OG0004654	1	2	1	2	1	7
OG0004655	1	2	1	2	1	7
OG0004656	1	2	1	2	1	7
OG0004657	4	1	2	0	0	7
OG0004658	1	1	2	2	1	7
OG0004659	1	2	1	2	1	7
OG0004660	1	1	0	1	4	7
OG0004661	1	3	1	1	1	7
OG0004662	1	2	1	2	1	7
OG0004663	1	3	1	1	1	7
OG0004664	1	2	1	2	1	7
OG0004665	2	1	1	2	1	7
OG0004666	3	0	0	0	4	7
OG0004667	1	2	1	2	1	7
OG0004668	1	2	1	2	1	7
OG0004669	4	1	0	1	1	7
OG0004670	2	1	2	1	1	7
OG0004671	1	3	1	1	1	7
OG0004672	1	2	1	2	1	7
OG0004673	1	2	1	2	1	7
OG0004674	2	1	2	1	1	7
OG0004675	3	1	2	1	0	7
OG0004676	1	1	1	3	1	7
OG0004677	1	3	1	1	1	7
OG0004678	1	1	1	3	1	7
OG0004679	1	1	1	3	1	7
OG0004680	1	2	1	1	2	7
OG0004681	1	2	1	2	1	7
OG0004682	1	3	0	2	1	7
OG0004683	3	0	0	4	0	7
OG0004684	2	2	1	1	1	7
OG0004685	4	1	0	0	2	7
OG0004686	1	2	2	1	1	7
OG0004687	1	1	3	1	1	7
OG0004688	1	2	1	2	1	7
OG0004689	3	0	0	1	3	7
OG0004690	5	0	1	1	0	7
OG0004691	1	2	2	1	1	7
OG0004692	1	3	1	1	1	7
OG0004693	4	0	1	0	2	7
OG0004694	3	1	1	1	1	7
OG0004695	1	1	2	2	1	7
OG0004696	1	2	1	2	1	7
OG0004697	1	2	2	1	1	7
OG0004698	1	1	1	3	1	7
OG0004699	1	2	1	2	1	7
OG0004700	1	1	4	1	0	7
OG0004701	1	1	1	4	0	7
OG0004702	2	1	1	2	1	7
OG0004703	1	1	1	2	2	7
OG0004704	1	3	1	1	1	7
OG0004705	1	3	1	1	1	7
OG0004706	2	1	1	3	0	7
OG0004707	1	3	1	1	1	7
OG0004708	1	3	1	1	1	7
OG0004709	1	2	1	2	1	7
OG0004710	1	3	1	1	1	7
OG0004711	1	3	1	1	1	7
OG0004712	4	0	0	2	1	7
OG0004713	1	1	1	3	1	7
OG0004714	1	1	2	2	1	7
OG0004715	5	0	1	1	0	7
OG0004716	1	3	1	1	1	7
OG0004717	1	2	1	2	1	7
OG0004718	6	1	0	0	0	7
OG0004719	2	1	1	2	1	7
OG0004720	3	1	1	1	1	7
OG0004721	1	2	1	2	1	7
OG0004722	4	3	0	0	0	7
OG0004723	2	2	2	1	0	7
OG0004724	2	2	2	0	1	7
OG0004725	1	1	2	2	1	7
OG0004726	1	3	1	1	1	7
OG0004727	2	1	2	1	1	7
OG0004728	3	1	1	1	1	7
OG0004729	2	2	1	1	1	7
OG0004730	2	2	1	1	1	7
OG0004731	1	3	1	1	1	7
OG0004732	1	1	1	3	1	7
OG0004733	1	1	2	2	1	7
OG0004734	1	2	1	2	1	7
OG0004735	1	2	2	1	1	7
OG0004736	3	1	1	1	1	7
OG0004737	2	1	1	1	2	7
OG0004738	2	1	0	3	1	7
OG0004739	1	3	1	1	1	7
OG0004740	1	1	1	3	1	7
OG0004741	1	2	2	1	1	7
OG0004742	1	2	1	1	2	7
OG0004743	4	1	1	1	0	7
OG0004744	1	1	2	2	1	7
OG0004745	3	1	1	1	1	7
OG0004746	2	1	1	1	2	7
OG0004747	2	2	1	1	1	7
OG0004748	1	2	1	2	1	7
OG0004749	1	1	3	1	1	7
OG0004750	1	2	2	1	1	7
OG0004751	1	1	1	3	1	7
OG0004752	1	2	2	1	1	7
OG0004753	1	2	1	2	1	7
OG0004754	1	2	1	2	1	7
OG0004755	4	2	0	0	1	7
OG0004756	1	0	0	1	5	7
OG0004757	2	1	1	2	1	7
OG0004758	1	1	0	4	1	7
OG0004759	1	3	1	1	1	7
OG0004760	1	1	1	3	1	7
OG0004761	1	1	2	1	2	7
OG0004762	2	1	1	2	1	7
OG0004763	2	1	1	1	2	7
OG0004764	1	1	2	2	1	7
OG0004765	1	2	2	1	1	7
OG0004766	1	2	2	1	1	7
OG0004767	1	2	1	2	1	7
OG0004768	1	2	1	2	1	7
OG0004769	1	1	2	1	2	7
OG0004770	1	1	2	2	1	7
OG0004771	1	1	2	3	0	7
OG0004772	2	2	1	1	1	7
OG0004773	2	1	2	1	1	7
OG0004774	1	1	2	1	2	7
OG0004775	1	1	1	2	2	7
OG0004776	1	1	1	2	2	7
OG0004777	1	2	2	1	1	7
OG0004778	2	1	1	2	1	7
OG0004779	1	1	1	3	1	7
OG0004780	2	1	1	1	2	7
OG0004781	1	3	1	1	1	7
OG0004782	1	2	1	2	1	7
OG0004783	3	3	0	0	1	7
OG0004784	2	2	0	1	2	7
OG0004785	2	1	2	1	1	7
OG0004786	1	1	2	2	1	7
OG0004787	1	3	1	1	1	7
OG0004788	2	1	1	2	1	7
OG0004789	1	2	2	1	1	7
OG0004790	2	1	1	1	2	7
OG0004791	1	3	1	1	1	7
OG0004792	1	3	1	2	0	7
OG0004793	1	1	1	3	1	7
OG0004794	2	3	1	1	0	7
OG0004795	1	4	0	1	1	7
OG0004796	2	0	3	1	1	7
OG0004797	1	0	2	4	0	7
OG0004798	2	0	0	5	0	7
OG0004799	1	1	1	3	1	7
OG0004800	1	2	1	2	1	7
OG0004801	2	0	0	0	5	7
OG0004802	1	3	1	1	1	7
OG0004803	2	2	1	1	1	7
OG0004804	3	0	0	0	4	7
OG0004805	4	0	0	2	1	7
OG0004806	7	0	0	0	0	7
OG0004807	1	2	1	1	2	7
OG0004808	1	3	1	1	1	7
OG0004809	1	2	1	2	1	7
OG0004810	1	4	0	1	1	7
OG0004811	1	3	1	1	1	7
OG0004812	1	3	1	1	1	7
OG0004813	1	1	1	3	1	7
OG0004814	1	1	1	3	1	7
OG0004815	2	1	1	1	2	7
OG0004816	1	0	1	3	2	7
OG0004817	1	3	1	1	1	7
OG0004818	1	3	1	1	1	7
OG0004819	7	0	0	0	0	7
OG0004820	2	3	0	1	1	7
OG0004821	1	3	1	1	1	7
OG0004822	2	1	2	1	1	7
OG0004823	1	2	1	2	1	7
OG0004824	1	1	1	2	2	7
OG0004825	2	1	1	2	1	7
OG0004826	1	1	3	1	1	7
OG0004827	3	2	0	0	2	7
OG0004828	2	1	1	2	1	7
OG0004829	1	2	1	2	1	7
OG0004830	1	2	2	1	1	7
OG0004831	1	2	1	2	1	7
OG0004832	1	1	1	3	1	7
OG0004833	4	0	0	3	0	7
OG0004834	2	2	1	1	1	7
OG0004835	1	1	1	1	3	7
OG0004836	2	1	0	4	0	7
OG0004837	1	2	0	3	1	7
OG0004838	1	1	2	2	1	7
OG0004839	1	3	1	1	1	7
OG0004840	2	1	2	1	1	7
OG0004841	1	2	2	1	1	7
OG0004842	1	2	1	2	1	7
OG0004843	1	1	1	3	1	7
OG0004844	2	2	1	2	0	7
OG0004845	1	2	0	2	2	7
OG0004846	1	1	0	4	1	7
OG0004847	1	0	0	6	0	7
OG0004848	1	1	1	3	1	7
OG0004849	1	2	2	1	1	7
OG0004850	1	2	2	1	1	7
OG0004851	1	1	1	1	3	7
OG0004852	1	1	2	2	1	7
OG0004853	1	1	2	1	2	7
OG0004854	1	3	1	1	1	7
OG0004855	1	1	2	1	2	7
OG0004856	6	0	0	1	0	7
OG0004857	1	2	1	2	1	7
OG0004858	2	2	1	1	1	7
OG0004859	1	2	1	2	1	7
OG0004860	1	3	1	2	0	7
OG0004861	1	3	1	1	1	7
OG0004862	2	2	1	1	1	7
OG0004863	1	3	1	1	1	7
OG0004864	4	1	0	0	2	7
OG0004865	3	0	0	3	1	7
OG0004866	1	2	1	2	1	7
OG0004867	1	2	1	2	1	7
OG0004868	1	0	2	3	1	7
OG0004869	1	2	1	2	1	7
OG0004870	3	0	0	4	0	7
OG0004871	1	1	2	2	1	7
OG0004872	1	1	2	2	1	7
OG0004873	1	2	1	2	1	7
OG0004874	1	1	1	1	3	7
OG0004875	1	1	2	2	1	7
OG0004876	3	0	0	3	1	7
OG0004877	2	1	1	2	1	7
OG0004878	2	1	2	1	1	7
OG0004879	2	1	1	2	1	7
OG0004880	1	0	2	2	2	7
OG0004881	1	1	0	2	3	7
OG0004882	1	1	1	3	1	7
OG0004883	1	2	1	2	1	7
OG0004884	1	1	2	1	2	7
OG0004885	6	0	1	0	0	7
OG0004886	1	0	0	6	0	7
OG0004887	4	1	0	2	0	7
OG0004888	1	3	1	1	1	7
OG0004889	1	1	1	3	1	7
OG0004890	4	1	0	2	0	7
OG0004891	1	0	1	2	3	7
OG0004892	2	2	1	1	1	7
OG0004893	1	2	2	1	1	7
OG0004894	1	1	1	3	1	7
OG0004895	2	1	1	1	2	7
OG0004896	2	1	2	1	1	7
OG0004897	1	1	1	2	2	7
OG0004898	3	1	1	1	1	7
OG0004899	1	2	1	2	1	7
OG0004900	2	2	1	1	1	7
OG0004901	1	2	1	2	1	7
OG0004902	1	1	1	3	1	7
OG0004903	2	1	1	2	1	7
OG0004904	2	1	2	1	1	7
OG0004905	1	1	1	3	1	7
OG0004906	1	4	0	1	1	7
OG0004907	2	1	2	1	1	7
OG0004908	1	3	1	1	1	7
OG0004909	1	1	1	1	3	7
OG0004910	1	3	1	1	1	7
OG0004911	1	2	1	2	1	7
OG0004912	2	2	1	1	1	7
OG0004913	2	1	2	1	1	7
OG0004914	1	1	2	2	1	7
OG0004915	1	1	2	2	1	7
OG0004916	4	0	1	0	2	7
OG0004917	1	2	2	1	1	7
OG0004918	1	2	0	3	1	7
OG0004919	1	1	1	3	1	7
OG0004920	3	0	0	2	2	7
OG0004921	1	0	0	0	6	7
OG0004922	1	2	2	1	1	7
OG0004923	1	1	1	3	1	7
OG0004924	4	0	0	2	1	7
OG0004925	4	1	0	1	1	7
OG0004926	2	1	2	1	1	7
OG0004927	1	3	0	2	1	7
OG0004928	2	2	1	1	1	7
OG0004929	2	2	1	1	1	7
OG0004930	2	2	1	1	1	7
OG0004931	2	2	1	1	1	7
OG0004932	1	2	1	2	1	7
OG0004933	1	2	1	2	1	7
OG0004934	1	1	1	3	1	7
OG0004935	1	2	1	2	1	7
OG0004936	1	4	1	1	0	7
OG0004937	2	2	1	1	1	7
OG0004938	4	0	0	3	0	7
OG0004939	1	2	3	0	1	7
OG0004940	1	2	1	2	1	7
OG0004941	1	0	1	3	2	7
OG0004942	1	4	0	1	1	7
OG0004943	1	1	1	3	1	7
OG0004944	1	2	1	2	1	7
OG0004945	2	2	1	0	2	7
OG0004946	1	2	1	2	1	7
OG0004947	2	2	1	1	1	7
OG0004948	2	1	1	2	1	7
OG0004949	1	1	1	3	1	7
OG0004950	2	1	1	2	1	7
OG0004951	2	1	1	2	1	7
OG0004952	1	2	1	2	1	7
OG0004953	1	2	2	1	1	7
OG0004954	1	3	1	1	1	7
OG0004955	1	2	1	1	2	7
OG0004956	2	2	1	1	1	7
OG0004957	1	2	1	2	1	7
OG0004958	1	2	1	2	1	7
OG0004959	1	0	0	5	1	7
OG0004960	1	1	1	2	2	7
OG0004961	1	2	1	2	1	7
OG0004962	2	0	1	3	1	7
OG0004963	2	1	1	2	1	7
OG0004964	1	1	1	3	1	7
OG0004965	1	2	2	1	1	7
OG0004966	1	1	2	2	1	7
OG0004967	1	2	1	2	1	7
OG0004968	1	1	1	3	1	7
OG0004969	2	2	1	1	1	7
OG0004970	2	2	1	1	1	7
OG0004971	1	0	2	1	3	7
OG0004972	1	2	1	2	1	7
OG0004973	1	2	1	2	1	7
OG0004974	1	1	1	3	1	7
OG0004975	2	2	1	1	1	7
OG0004976	2	1	1	2	1	7
OG0004977	4	0	0	0	3	7
OG0004978	7	0	0	0	0	7
OG0004979	4	0	3	0	0	7
OG0004980	2	1	1	2	1	7
OG0004981	2	1	1	2	1	7
OG0004982	2	2	1	1	1	7
OG0004983	2	1	1	2	1	7
OG0004984	1	1	2	2	1	7
OG0004985	1	2	2	1	1	7
OG0004986	1	0	1	2	3	7
OG0004987	1	3	1	2	0	7
OG0004988	1	2	1	2	1	7
OG0004989	1	1	2	2	1	7
OG0004990	1	1	1	1	3	7
OG0004991	1	1	2	2	1	7
OG0004992	2	1	1	2	1	7
OG0004993	2	2	1	1	1	7
OG0004994	2	3	0	1	1	7
OG0004995	1	2	1	2	1	7
OG0004996	2	2	1	1	1	7
OG0004997	1	1	2	2	1	7
OG0004998	1	2	1	2	1	7
OG0004999	1	2	1	2	1	7
OG0005000	1	2	0	3	1	7
OG0005001	1	2	1	2	1	7
OG0005002	4	1	0	2	0	7
OG0005003	1	3	1	1	1	7
OG0005004	1	3	1	1	1	7
OG0005005	1	2	1	2	1	7
OG0005006	1	1	2	2	1	7
OG0005007	2	1	2	1	1	7
OG0005008	1	2	1	2	1	7
OG0005009	1	1	1	0	4	7
OG0005010	1	2	0	3	1	7
OG0005011	1	1	1	3	1	7
OG0005012	1	0	1	4	1	7
OG0005013	2	3	1	0	1	7
OG0005014	1	2	1	2	1	7
OG0005015	1	3	0	2	1	7
OG0005016	1	2	1	2	1	7
OG0005017	3	1	1	1	1	7
OG0005018	1	2	1	2	1	7
OG0005019	2	1	1	2	1	7
OG0005020	2	2	1	1	1	7
OG0005021	1	2	1	2	1	7
OG0005022	1	2	3	1	0	7
OG0005023	1	3	1	1	1	7
OG0005024	1	3	1	1	1	7
OG0005025	1	0	3	0	3	7
OG0005026	2	2	1	1	1	7
OG0005027	1	1	0	4	1	7
OG0005028	1	2	1	2	1	7
OG0005029	1	3	1	1	1	7
OG0005030	1	1	1	3	1	7
OG0005031	1	3	1	2	0	7
OG0005032	2	1	1	2	1	7
OG0005033	2	2	0	2	1	7
OG0005034	1	0	2	2	2	7
OG0005035	2	1	2	1	1	7
OG0005036	1	3	1	1	1	7
OG0005037	1	1	1	3	1	7
OG0005038	1	3	1	1	1	7
OG0005039	1	2	1	3	0	7
OG0005040	1	2	1	2	1	7
OG0005041	1	2	1	2	1	7
OG0005042	2	0	0	0	5	7
OG0005043	1	1	1	3	1	7
OG0005044	1	1	1	2	2	7
OG0005045	1	2	1	2	1	7
OG0005046	1	4	0	1	1	7
OG0005047	1	3	1	1	1	7
OG0005048	1	2	0	2	2	7
OG0005049	1	1	1	3	1	7
OG0005050	1	2	2	1	1	7
OG0005051	1	1	1	2	2	7
OG0005052	1	1	1	3	1	7
OG0005053	6	0	0	1	0	7
OG0005054	1	1	1	3	1	7
OG0005055	2	1	1	2	1	7
OG0005056	2	1	2	1	1	7
OG0005057	1	3	0	2	1	7
OG0005058	1	1	3	1	1	7
OG0005059	1	2	1	2	1	7
OG0005060	2	1	0	3	1	7
OG0005061	1	2	1	2	1	7
OG0005062	1	3	1	1	1	7
OG0005063	1	2	1	2	1	7
OG0005064	1	1	1	3	1	7
OG0005065	1	1	1	3	1	7
OG0005066	1	3	0	2	1	7
OG0005067	1	2	1	2	1	7
OG0005068	1	2	2	1	1	7
OG0005069	4	0	0	1	2	7
OG0005070	1	2	1	2	1	7
OG0005071	1	1	3	1	1	7
OG0005072	1	2	1	2	1	7
OG0005073	1	1	3	1	1	7
OG0005074	1	1	2	2	1	7
OG0005075	1	2	1	2	1	7
OG0005076	1	2	1	2	1	7
OG0005077	1	3	1	1	1	7
OG0005078	1	3	1	1	1	7
OG0005079	1	2	1	1	2	7
OG0005080	2	1	2	1	1	7
OG0005081	1	0	1	2	3	7
OG0005082	1	1	1	3	1	7
OG0005083	1	2	1	2	1	7
OG0005084	1	2	1	1	2	7
OG0005085	1	2	1	2	1	7
OG0005086	1	2	2	1	1	7
OG0005087	2	1	1	2	1	7
OG0005088	1	1	1	2	2	7
OG0005089	1	3	0	2	1	7
OG0005090	2	1	1	1	2	7
OG0005091	1	2	1	2	1	7
OG0005092	1	3	1	1	1	7
OG0005093	1	2	1	2	1	7
OG0005094	1	1	1	3	1	7
OG0005095	1	2	1	2	1	7
OG0005096	1	2	1	2	1	7
OG0005097	3	1	0	3	0	7
OG0005098	1	1	2	2	1	7
OG0005099	1	3	1	1	1	7
OG0005100	1	1	1	3	1	7
OG0005101	1	1	1	3	1	7
OG0005102	1	2	2	1	1	7
OG0005103	1	2	1	2	1	7
OG0005104	1	3	1	1	1	7
OG0005105	1	1	2	2	1	7
OG0005106	1	1	1	3	1	7
OG0005107	1	1	3	1	1	7
OG0005108	1	1	2	2	1	7
OG0005109	1	2	2	1	1	7
OG0005110	2	1	1	2	1	7
OG0005111	1	2	1	2	1	7
OG0005112	2	1	1	2	1	7
OG0005113	3	0	2	0	2	7
OG0005114	1	4	1	1	0	7
OG0005115	1	4	0	1	1	7
OG0005116	1	2	0	3	1	7
OG0005117	2	1	2	1	1	7
OG0005118	1	2	1	2	1	7
OG0005119	1	1	1	3	1	7
OG0005120	1	2	1	2	1	7
OG0005121	1	3	1	2	0	7
OG0005122	1	2	1	2	1	7
OG0005123	2	2	2	0	1	7
OG0005124	1	3	1	1	1	7
OG0005125	1	3	1	1	1	7
OG0005126	2	2	1	1	1	7
OG0005127	1	1	2	2	1	7
OG0005128	1	0	1	4	1	7
OG0005129	2	2	1	0	2	7
OG0005130	3	1	0	0	3	7
OG0005131	2	2	1	1	1	7
OG0005132	2	1	2	1	1	7
OG0005133	1	3	1	1	1	7
OG0005134	1	2	1	2	1	7
OG0005135	1	2	2	2	0	7
OG0005136	1	2	1	2	1	7
OG0005137	2	1	1	2	1	7
OG0005138	2	1	1	2	1	7
OG0005139	2	2	1	1	1	7
OG0005140	1	1	3	1	1	7
OG0005141	1	2	2	1	1	7
OG0005142	1	1	1	3	1	7
OG0005143	1	1	1	2	2	7
OG0005144	1	1	2	2	1	7
OG0005145	1	1	1	3	1	7
OG0005146	1	1	2	1	2	7
OG0005147	1	1	1	3	1	7
OG0005148	1	1	1	3	1	7
OG0005149	1	1	1	3	1	7
OG0005150	1	1	1	3	1	7
OG0005151	1	1	2	1	2	7
OG0005152	2	2	1	1	1	7
OG0005153	1	3	1	1	1	7
OG0005154	1	2	1	2	1	7
OG0005155	3	1	1	1	1	7
OG0005156	1	3	1	1	1	7
OG0005157	4	0	1	2	0	7
OG0005158	3	1	1	1	1	7
OG0005159	1	1	1	3	1	7
OG0005160	2	2	1	1	1	7
OG0005161	1	1	2	2	1	7
OG0005162	1	3	1	1	1	7
OG0005163	1	1	1	2	2	7
OG0005164	1	2	1	2	1	7
OG0005165	1	1	2	2	1	7
OG0005166	1	2	1	2	1	7
OG0005167	1	1	1	3	1	7
OG0005168	1	2	0	3	1	7
OG0005169	1	2	1	3	0	7
OG0005170	1	2	2	1	1	7
OG0005171	1	1	1	3	1	7
OG0005172	1	2	1	2	1	7
OG0005173	1	1	1	3	1	7
OG0005174	2	1	0	0	4	7
OG0005175	1	1	1	3	1	7
OG0005176	2	2	1	1	1	7
OG0005177	1	1	2	0	3	7
OG0005178	1	2	1	2	1	7
OG0005179	2	1	1	2	1	7
OG0005180	1	1	1	2	2	7
OG0005181	2	1	0	2	2	7
OG0005182	1	2	1	2	1	7
OG0005183	1	1	1	2	2	7
OG0005184	1	3	1	1	1	7
OG0005185	2	2	1	1	1	7
OG0005186	1	1	1	3	1	7
OG0005187	1	1	1	2	2	7
OG0005188	1	2	1	2	1	7
OG0005189	1	1	1	3	1	7
OG0005190	1	1	1	3	1	7
OG0005191	1	3	1	1	1	7
OG0005192	3	0	1	0	3	7
OG0005193	2	2	1	1	1	7
OG0005194	1	2	1	2	1	7
OG0005195	1	1	0	1	4	7
OG0005196	2	1	1	2	1	7
OG0005197	1	1	1	3	1	7
OG0005198	1	3	1	1	1	7
OG0005199	1	2	1	2	1	7
OG0005200	2	1	2	1	1	7
OG0005201	1	1	1	3	1	7
OG0005202	2	1	1	2	1	7
OG0005203	1	2	1	2	1	7
OG0005204	2	1	1	1	2	7
OG0005205	1	2	1	2	1	7
OG0005206	1	1	1	3	1	7
OG0005207	1	1	2	2	1	7
OG0005208	1	3	1	1	1	7
OG0005209	1	1	1	3	1	7
OG0005210	1	1	1	2	2	7
OG0005211	1	1	1	3	1	7
OG0005212	2	0	3	1	1	7
OG0005213	1	2	1	2	1	7
OG0005214	1	1	1	3	1	7
OG0005215	1	2	1	2	1	7
OG0005216	1	0	1	4	1	7
OG0005217	2	1	0	4	0	7
OG0005218	2	1	1	2	1	7
OG0005219	1	2	1	2	1	7
OG0005220	1	2	1	2	1	7
OG0005221	1	0	0	6	0	7
OG0005222	1	3	1	1	1	7
OG0005223	1	1	1	3	1	7
OG0005224	3	1	1	1	1	7
OG0005225	1	1	0	1	4	7
OG0005226	1	1	2	1	2	7
OG0005227	1	2	2	2	0	7
OG0005228	4	0	0	2	1	7
OG0005229	1	1	2	2	1	7
OG0005230	2	1	2	1	1	7
OG0005231	1	1	2	2	1	7
OG0005232	1	1	1	3	1	7
OG0005233	1	2	1	2	1	7
OG0005234	1	4	0	1	1	7
OG0005235	3	2	1	1	0	7
OG0005236	2	2	1	1	1	7
OG0005237	1	2	1	3	0	7
OG0005238	1	1	2	2	1	7
OG0005239	1	2	1	0	3	7
OG0005240	1	1	1	3	1	7
OG0005241	1	3	1	1	1	7
OG0005242	3	2	0	2	0	7
OG0005243	2	1	1	2	1	7
OG0005244	1	3	0	1	2	7
OG0005245	1	1	1	3	1	7
OG0005246	1	3	1	1	1	7
OG0005247	1	1	0	4	1	7
OG0005248	1	2	1	2	1	7
OG0005249	1	2	2	1	1	7
OG0005250	1	1	1	2	2	7
OG0005251	1	2	1	1	2	7
OG0005252	1	1	3	1	1	7
OG0005253	2	0	4	1	0	7
OG0005254	1	1	2	2	1	7
OG0005255	1	1	1	3	1	7
OG0005256	1	1	1	3	1	7
OG0005257	1	1	2	2	1	7
OG0005258	1	1	1	3	1	7
OG0005259	1	2	2	1	1	7
OG0005260	1	1	1	3	1	7
OG0005261	2	2	1	1	1	7
OG0005262	4	0	1	0	2	7
OG0005263	1	1	1	3	1	7
OG0005264	2	3	0	1	1	7
OG0005265	1	3	1	1	1	7
OG0005266	3	1	1	1	1	7
OG0005267	1	1	3	1	1	7
OG0005268	1	2	1	1	2	7
OG0005269	1	1	3	1	1	7
OG0005270	2	1	1	2	1	7
OG0005271	1	2	2	1	1	7
OG0005272	1	2	2	1	1	7
OG0005273	3	0	1	2	1	7
OG0005274	1	2	1	2	1	7
OG0005275	1	2	1	2	1	7
OG0005276	1	1	2	2	1	7
OG0005277	1	1	0	2	3	7
OG0005278	1	1	1	3	1	7
OG0005279	2	3	0	1	1	7
OG0005280	1	3	1	1	1	7
OG0005281	1	2	2	1	1	7
OG0005282	1	2	2	2	0	7
OG0005283	1	2	2	1	1	7
OG0005284	2	1	2	1	1	7
OG0005285	1	3	1	1	1	7
OG0005286	1	3	0	1	2	7
OG0005287	2	1	2	1	1	7
OG0005288	1	1	5	0	0	7
OG0005289	1	3	1	1	1	7
OG0005290	1	2	1	2	1	7
OG0005291	1	2	1	1	2	7
OG0005292	3	1	1	1	1	7
OG0005293	2	1	2	1	1	7
OG0005294	1	2	2	1	1	7
OG0005295	1	1	0	1	4	7
OG0005296	1	1	2	2	1	7
OG0005297	1	2	1	2	1	7
OG0005298	1	2	1	2	1	7
OG0005299	2	1	2	1	1	7
OG0005300	1	2	1	2	1	7
OG0005301	2	2	2	1	0	7
OG0005302	1	1	2	2	1	7
OG0005303	1	2	1	2	1	7
OG0005304	5	2	0	0	0	7
OG0005305	2	1	1	2	1	7
OG0005306	1	3	1	1	1	7
OG0005307	1	3	1	1	1	7
OG0005308	1	2	1	2	1	7
OG0005309	3	1	1	2	0	7
OG0005310	2	2	1	1	1	7
OG0005311	1	4	1	0	1	7
OG0005312	1	3	1	1	1	7
OG0005313	1	1	1	3	1	7
OG0005314	1	1	2	2	1	7
OG0005315	1	1	2	2	1	7
OG0005316	1	2	1	2	1	7
OG0005317	1	1	1	3	1	7
OG0005318	1	1	1	2	2	7
OG0005319	1	2	1	2	1	7
OG0005320	1	2	1	2	1	7
OG0005321	1	2	1	2	1	7
OG0005322	1	2	0	1	3	7
OG0005323	1	1	1	3	1	7
OG0005324	1	1	1	3	1	7
OG0005325	1	2	1	2	1	7
OG0005326	2	1	1	2	1	7
OG0005327	1	2	1	2	1	7
OG0005328	3	1	1	1	1	7
OG0005329	1	2	1	2	1	7
OG0005330	1	3	0	1	2	7
OG0005331	1	2	1	2	1	7
OG0005332	1	2	1	2	1	7
OG0005333	1	2	1	1	2	7
OG0005334	1	0	6	0	0	7
OG0005335	1	2	2	1	1	7
OG0005336	1	1	2	2	1	7
OG0005337	2	2	1	1	1	7
OG0005338	1	1	1	3	1	7
OG0005339	1	2	1	2	1	7
OG0005340	1	1	1	2	2	7
OG0005341	2	2	1	2	0	7
OG0005342	2	1	1	2	1	7
OG0005343	2	2	3	0	0	7
OG0005344	1	1	1	3	1	7
OG0005345	1	3	0	2	1	7
OG0005346	1	2	1	2	1	7
OG0005347	1	2	1	2	1	7
OG0005348	1	1	1	4	0	7
OG0005349	1	2	1	2	1	7
OG0005350	1	1	1	2	2	7
OG0005351	1	2	1	2	1	7
OG0005352	1	1	2	2	1	7
OG0005353	1	1	3	1	1	7
OG0005354	1	0	1	4	1	7
OG0005355	2	0	4	0	1	7
OG0005356	1	1	1	3	1	7
OG0005357	1	1	1	3	1	7
OG0005358	1	1	0	4	1	7
OG0005359	1	2	1	2	1	7
OG0005360	1	1	1	3	1	7
OG0005361	1	2	0	3	1	7
OG0005362	1	1	1	3	1	7
OG0005363	1	1	1	3	1	7
OG0005364	1	2	1	2	1	7
OG0005365	1	1	1	3	1	7
OG0005366	1	2	2	1	1	7
OG0005367	4	1	1	1	0	7
OG0005368	1	2	3	0	1	7
OG0005369	1	2	1	0	3	7
OG0005370	1	2	1	2	1	7
OG0005371	1	3	1	1	1	7
OG0005372	1	3	1	1	1	7
OG0005373	1	3	1	1	1	7
OG0005374	1	3	1	1	1	7
OG0005375	1	2	2	1	1	7
OG0005376	1	2	1	2	1	7
OG0005377	3	0	0	3	1	7
OG0005378	1	1	3	1	1	7
OG0005379	1	0	0	6	0	7
OG0005380	1	3	1	1	1	7
OG0005381	1	2	1	2	1	7
OG0005382	1	2	1	2	1	7
OG0005383	1	2	2	1	1	7
OG0005384	1	1	1	2	2	7
OG0005385	2	1	1	1	2	7
OG0005386	3	1	1	1	1	7
OG0005387	2	2	1	1	1	7
OG0005388	1	2	1	2	1	7
OG0005389	1	2	1	2	1	7
OG0005390	1	1	2	2	1	7
OG0005391	2	2	1	1	1	7
OG0005392	1	3	1	1	1	7
OG0005393	1	1	2	1	2	7
OG0005394	1	4	0	1	1	7
OG0005395	1	3	1	1	1	7
