"","gene_id","Orthogroup","Species"
"104","Acerv_evm.TU.Segkk315_pilon.1","OG0000150","A.cervicornis"
"105","Acerv_evm.TU.Segkk3158_pilon.3","OG0011235","A.cervicornis"
"106","Acerv_evm.TU.Segkk3159_pilon.11","OG0000990","A.cervicornis"
"107","Acerv_evm.TU.Segkk318_pilon.5","OG0000826","A.cervicornis"
"108","Acerv_evm.TU.Segkk3192_pilon.40","OG0002315","A.cervicornis"
"109","Acerv_evm.TU.Segkk3209_pilon.11","OG0012731","A.cervicornis"
"110","Acerv_evm.TU.Segkk3209_pilon.7","OG0000011","A.cervicornis"
"111","Acerv_evm.TU.Segkk3264_pilon.11","OG0012773","A.cervicornis"
"112","Acerv_evm.TU.Segkk3306_pilon.14","OG0004944","A.cervicornis"
"113","Acerv_evm.TU.Segkk3317_pilon.1","OG0002408","A.cervicornis"
"114","Acerv_evm.TU.Segkk3327_pilon.18","OG0006571","A.cervicornis"
"115","Acerv_evm.TU.Segkk3363_pilon.30","OG0000124","A.cervicornis"
"116","Acerv_evm.TU.Segkk338_pilon.10","OG0000487","A.cervicornis"
"117","Acerv_evm.TU.Segkk3381_pilon.2","OG0012911","A.cervicornis"
"118","Acerv_evm.TU.Segkk3387_pilon.12","OG0000000","A.cervicornis"
"119","Acerv_evm.TU.Segkk3394_pilon.16","OG0000882","A.cervicornis"
"120","Acerv_evm.TU.Segkk3397_pilon.3","OG0000850","A.cervicornis"
"121","Acerv_evm.TU.Segkk3405_pilon.7","OG0002408","A.cervicornis"
"122","Acerv_evm.TU.Segkk3412_pilon.6","OG0004978","A.cervicornis"
"123","Acerv_evm.TU.Segkk3417_pilon.5","OG0000333","A.cervicornis"
"124","Acerv_evm.TU.Segkk3419_pilon.10","OG0002034","A.cervicornis"
"125","Acerv_evm.TU.Segkk3422_pilon.23","OG0000469","A.cervicornis"
"126","Acerv_evm.TU.Segkk3450_pilon.3","OG0012969","A.cervicornis"
"127","Acerv_evm.TU.Segkk3453_pilon.14","OG0020090","A.cervicornis"
"128","Acerv_evm.TU.Segkk3453_pilon.19","OG0000008","A.cervicornis"
"129","Acerv_evm.TU.Segkk3463_pilon.1","OG0000491","A.cervicornis"
"130","Acerv_evm.TU.Segkk3493_pilon.1","OG0000767","A.cervicornis"
"131","Acerv_evm.TU.Segkk3538_pilon.3","OG0000138","A.cervicornis"
"132","Acerv_evm.TU.Segkk3540_pilon.3","OG0000355","A.cervicornis"
"133","Acerv_evm.TU.Segkk358_pilon.2","OG0010296","A.cervicornis"
"134","Acerv_evm.TU.Segkk36_pilon.2","OG0005343","A.cervicornis"
"135","Acerv_evm.TU.Segkk3618_pilon.7","OG0000000","A.cervicornis"
"136","Acerv_evm.TU.Segkk3637_pilon.63","OG0018195","A.cervicornis"
"137","Acerv_evm.TU.Segkk3644_pilon.3","OG0013114","A.cervicornis"
"138","Acerv_evm.TU.Segkk3655_pilon.19","OG0007101","A.cervicornis"
"139","Acerv_evm.TU.Segkk3655_pilon.33","OG0000469","A.cervicornis"
"140","Acerv_evm.TU.Segkk3750_pilon.2","OG0018208","A.cervicornis"
"141","Acerv_evm.TU.Segkk384_pilon.7","OG0004255","A.cervicornis"
"142","Acerv_evm.TU.Segkk3844_pilon.1","OG0007349","A.cervicornis"
"143","Acerv_evm.TU.Segkk3858_pilon.8","OG0000882","A.cervicornis"
