Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0011251	Mcavernosa14295-RA	Pocillopora_acuta_HIv1_PredGene_g9000.t1
OG0011252	Mcavernosa29145-RA	Pocillopora_acuta_HIv1_PredGene_g9002.t1
OG0011253	Mcavernosa01003-RA	Pocillopora_acuta_HIv1_PredGene_g15008.t1
OG0011254	Mcavernosa25752-RA	Pocillopora_acuta_HIv1_PredGene_g15003.t1
OG0011255	Mcavernosa30162-RA	Pocillopora_acuta_HIv1_PredGene_g31690.t1
OG0011256	Mcavernosa05810-RA	Pocillopora_acuta_HIv1_PredGene_g31694.t1
OG0011258	Mcavernosa05808-RA	Pocillopora_acuta_HIv1_PredGene_g31687.t1
OG0011259	Mcavernosa30160-RA	Pocillopora_acuta_HIv1_PredGene_g31688.t1
OG0011260	Mcavernosa25757-RA	Pocillopora_acuta_HIv1_PredGene_g15005.t1
OG0011261	Mcavernosa05794-RA	Pocillopora_acuta_HIv1_PredGene_g31667.t1
OG0011262	Mcavernosa05816-RA	Pocillopora_acuta_HIv1_PredGene_g31698.t1
OG0011263	Mcavernosa17315-RA	Pocillopora_acuta_HIv1_PredGene_g11012.t1
OG0011264	Mcavernosa02900-RA	Pocillopora_acuta_HIv1_PredGene_g4807.t1
OG0011265	Mcavernosa02901-RA	Pocillopora_acuta_HIv1_PredGene_g4808.t1
OG0011266	Mcavernosa02884-RA	Pocillopora_acuta_HIv1_PredGene_g4801.t1
OG0011267	Mcavernosa02909-RA	Pocillopora_acuta_HIv1_PredGene_g4820.t1
OG0011268	Mcavernosa02910-RA	Pocillopora_acuta_HIv1_PredGene_g4821.t1
OG0011269	Mcavernosa02903-RA	Pocillopora_acuta_HIv1_PredGene_g4810.t1
OG0011271	Mcavernosa11970-RA	Pocillopora_acuta_HIv1_PredGene_g20260.t1
OG0011273	Mcavernosa20116-RA	Pocillopora_acuta_HIv1_PredGene_g4729.t1
OG0011274	Mcavernosa16691-RA	Pocillopora_acuta_HIv1_PredGene_g13968.t1
OG0011275	Mcavernosa16690-RA	Pocillopora_acuta_HIv1_PredGene_g13966.t1
OG0011276	Mcavernosa02659-RA	Pocillopora_acuta_HIv1_PredGene_g30808.t1
OG0011277	Mcavernosa23087-RA	Pocillopora_acuta_HIv1_PredGene_g24782.t1
OG0011278	Mcavernosa24694-RA	Pocillopora_acuta_HIv1_PredGene_g24826.t1
OG0011279	Mcavernosa24700-RA	Pocillopora_acuta_HIv1_PredGene_g24831.t1
OG0011280	Mcavernosa24716-RA	Pocillopora_acuta_HIv1_PredGene_g24839.t1
OG0011281	Mcavernosa24695-RA	Pocillopora_acuta_HIv1_PredGene_g24827.t1
OG0011282	Mcavernosa24699-RA	Pocillopora_acuta_HIv1_PredGene_g24829.t1
OG0011283	Mcavernosa23086-RA	Pocillopora_acuta_HIv1_PredGene_g24781.t1
OG0011285	Mcavernosa08012-RA	Pocillopora_acuta_HIv1_PredGene_g7200.t1
OG0011286	Mcavernosa07933-RA	Pocillopora_acuta_HIv1_PredGene_g7196.t1
OG0011287	Mcavernosa09732-RA	Pocillopora_acuta_HIv1_PredGene_g5460.t1
OG0011288	Mcavernosa09731-RA	Pocillopora_acuta_HIv1_PredGene_g5459.t1
OG0011289	Mcavernosa19466-RA	Pocillopora_acuta_HIv1_PredGene_g20348.t1
OG0011291	Mcavernosa01973-RA	Pocillopora_acuta_HIv1_PredGene_g30209.t1
OG0011293	Mcavernosa09702-RA	Pocillopora_acuta_HIv1_PredGene_g15315.t1
OG0011294	Mcavernosa09696-RA	Pocillopora_acuta_HIv1_PredGene_g22473.t1
OG0011295	Mcavernosa09698-RA	Pocillopora_acuta_HIv1_PredGene_g22475.t1
OG0011296	Mcavernosa23966-RA	Pocillopora_acuta_HIv1_PredGene_g11621.t1
OG0011297	Mcavernosa23964-RA	Pocillopora_acuta_HIv1_PredGene_g11620.t1
OG0011298	Mcavernosa08611-RA	Pocillopora_acuta_HIv1_PredGene_g3918.t1
OG0011299	Mcavernosa28480-RA	Pocillopora_acuta_HIv1_PredGene_g2122.t1
OG0011300	Mcavernosa23051-RA	Pocillopora_acuta_HIv1_PredGene_g19632.t1
OG0011301	Mcavernosa21422-RA	Pocillopora_acuta_HIv1_PredGene_g10579.t1
OG0011302	Mcavernosa21425-RA	Pocillopora_acuta_HIv1_PredGene_g10577.t1
OG0011303	Mcavernosa14353-RA	Pocillopora_acuta_HIv1_PredGene_g5190.t1
OG0011304	Mcavernosa14345-RA	Pocillopora_acuta_HIv1_PredGene_g5187.t1
OG0011305	Mcavernosa22086-RA	Pocillopora_acuta_HIv1_PredGene_g32295.t1
OG0011306	Mcavernosa00551-RA	Pocillopora_acuta_HIv1_PredGene_g23141.t1
OG0011307	Mcavernosa20495-RA	Pocillopora_acuta_HIv1_PredGene_g6320.t1
OG0011308	Mcavernosa20494-RA	Pocillopora_acuta_HIv1_PredGene_g6319.t1
OG0011309	Mcavernosa20497-RA	Pocillopora_acuta_HIv1_PredGene_g6322.t1
OG0011310	Mcavernosa20501-RA	Pocillopora_acuta_HIv1_PredGene_g6325.t1
OG0011311	Mcavernosa20500-RA	Pocillopora_acuta_HIv1_PredGene_g6324.t1
OG0011312	Mcavernosa20493-RA	Pocillopora_acuta_HIv1_PredGene_g6318.t1
OG0011313	Mcavernosa20679-RA	Pocillopora_acuta_HIv1_PredGene_g9572.t1
OG0011314	Mcavernosa17524-RA	Pocillopora_acuta_HIv1_PredGene_g16981.t1
OG0011315	Mcavernosa27354-RA	Pocillopora_acuta_HIv1_PredGene_g16982.t1
OG0011316	Mcavernosa27353-RA	Pocillopora_acuta_HIv1_PredGene_g16983.t1
OG0011317	Mcavernosa03479-RA	Pocillopora_acuta_HIv1_PredGene_g25506.t1
OG0011318	Mcavernosa03475-RA	Pocillopora_acuta_HIv1_PredGene_g25499.t1
OG0011319	Mcavernosa25158-RA	Pocillopora_acuta_HIv1_PredGene_g25492.t1
OG0011322	Mcavernosa22473-RA	Pocillopora_acuta_HIv1_PredGene_g29642.t1
OG0011323	Mcavernosa22474-RA	Pocillopora_acuta_HIv1_PredGene_16482_t
OG0011324	Mcavernosa04219-RA	Pocillopora_acuta_HIv1_PredGene_g24416.t1
OG0011325	Mcavernosa19669-RA	Pocillopora_acuta_HIv1_PredGene_g22010.t1
OG0011327	Mcavernosa20347-RA	Pocillopora_acuta_HIv1_PredGene_g26509.t1
OG0011328	Mcavernosa20360-RA	Pocillopora_acuta_HIv1_PredGene_g26515.t1
OG0011329	Mcavernosa15477-RA	Pocillopora_acuta_HIv1_PredGene_g20295.t1
OG0011330	Mcavernosa00824-RA	Pocillopora_acuta_HIv1_PredGene_g6628.t1
OG0011331	Mcavernosa00812-RA	Pocillopora_acuta_HIv1_PredGene_g12329.t1
OG0011332	Mcavernosa00842-RA	Pocillopora_acuta_HIv1_PredGene_g6634.t1
OG0011333	Mcavernosa00841-RA	Pocillopora_acuta_HIv1_PredGene_g6633.t1
OG0011334	Mcavernosa12603-RA	Pocillopora_acuta_HIv1_PredGene_g18709.t1
OG0011335	Mcavernosa04656-RA	Pocillopora_acuta_HIv1_PredGene_g24848.t1
OG0011336	Mcavernosa14803-RA	Pocillopora_acuta_HIv1_PredGene_26069_t
OG0011337	Mcavernosa30044-RA	Pocillopora_acuta_HIv1_PredGene_g353.t1
OG0011338	Mcavernosa30042-RA	Pocillopora_acuta_HIv1_PredGene_g350.t1
OG0011339	Mcavernosa00888-RA	Pocillopora_acuta_HIv1_PredGene_g30947.t1
OG0011340	Mcavernosa23897-RA	Pocillopora_acuta_HIv1_PredGene_g28229.t1
OG0011341	Mcavernosa23898-RA	Pocillopora_acuta_HIv1_PredGene_g28230.t1
OG0011342	Mcavernosa29691-RA	Pocillopora_acuta_HIv1_PredGene_17833_t, Pocillopora_acuta_HIv1_PredGene_g30935.t1
OG0011343	Mcavernosa02883-RA	Pocillopora_acuta_HIv1_PredGene_g4800.t1
OG0011344	Mcavernosa21513-RA	Pocillopora_acuta_HIv1_PredGene_g13237.t1
OG0011345	Mcavernosa16835-RA	Pocillopora_acuta_HIv1_PredGene_g5760.t1
OG0011346	Mcavernosa21514-RA	Pocillopora_acuta_HIv1_PredGene_g9624.t1
OG0011347	Mcavernosa21517-RA	Pocillopora_acuta_HIv1_PredGene_g9622.t1
OG0011348	Mcavernosa27143-RA	Pocillopora_acuta_HIv1_PredGene_g9620.t1
OG0011349	Mcavernosa27142-RA	Pocillopora_acuta_HIv1_PredGene_g9619.t1
OG0011350	Mcavernosa21524-RA	Pocillopora_acuta_HIv1_PredGene_g2368.t1
OG0011351	Mcavernosa02193-RA	Pocillopora_acuta_HIv1_PredGene_g17045.t1
OG0011353	Mcavernosa09284-RA	Pocillopora_acuta_HIv1_PredGene_g9207.t1
OG0011354	Mcavernosa05936-RA	Pocillopora_acuta_HIv1_PredGene_g17590.t1
OG0011355	Mcavernosa05938-RA	Pocillopora_acuta_HIv1_PredGene_g17589.t1
OG0011356	Mcavernosa05941-RA	Pocillopora_acuta_HIv1_PredGene_g17586.t1
OG0011357	Mcavernosa05942-RA	Pocillopora_acuta_HIv1_PredGene_g17584.t1
OG0011358	Mcavernosa05945-RA	Pocillopora_acuta_HIv1_PredGene_g17585.t1
OG0011360	Mcavernosa13410-RA	Pocillopora_acuta_HIv1_PredGene_g24527.t1
OG0011361	Mcavernosa13432-RA	Pocillopora_acuta_HIv1_PredGene_g24511.t1
OG0011363	Mcavernosa31278-RA, Mcavernosa31280-RA	Pocillopora_acuta_HIv1_PredGene_g15193.t1
OG0011364	Mcavernosa20930-RA	Pocillopora_acuta_HIv1_PredGene_g10608.t1
OG0011365	Mcavernosa20929-RA	Pocillopora_acuta_HIv1_PredGene_g10607.t1
OG0011367	Mcavernosa16044-RA	Pocillopora_acuta_HIv1_PredGene_g10591.t1
OG0011368	Mcavernosa30008-RA	Pocillopora_acuta_HIv1_PredGene_g10589.t1
OG0011369	Mcavernosa16054-RA	Pocillopora_acuta_HIv1_PredGene_g10598.t1
OG0011370	Mcavernosa28079-RA	Pocillopora_acuta_HIv1_PredGene_g26884.t1
OG0011371	Mcavernosa11926-RA	Pocillopora_acuta_HIv1_PredGene_g15141.t1
OG0011372	Mcavernosa11928-RA	Pocillopora_acuta_HIv1_PredGene_g15143.t1
OG0011373	Mcavernosa06216-RA	Pocillopora_acuta_HIv1_PredGene_g23423.t1
OG0011374	Mcavernosa06217-RA	Pocillopora_acuta_HIv1_PredGene_g23424.t1
OG0011375	Mcavernosa06199-RA	Pocillopora_acuta_HIv1_PredGene_g23378.t1
OG0011376	Mcavernosa06222-RA	Pocillopora_acuta_HIv1_PredGene_g23429.t1
OG0011377	Mcavernosa19620-RA	Pocillopora_acuta_HIv1_PredGene_g9230.t1
OG0011378	Mcavernosa19622-RA	Pocillopora_acuta_HIv1_PredGene_g9231.t1
OG0011379	Mcavernosa21778-RA	Pocillopora_acuta_HIv1_PredGene_g31653.t1
OG0011380	Mcavernosa21782-RA	Pocillopora_acuta_HIv1_PredGene_g31655.t1
OG0011381	Mcavernosa21783-RA	Pocillopora_acuta_HIv1_PredGene_g31656.t1
OG0011382	Mcavernosa11828-RA	Pocillopora_acuta_HIv1_PredGene_g10373.t1
OG0011384	Mcavernosa06492-RA	Pocillopora_acuta_HIv1_PredGene_g5869.t1
OG0011385	Mcavernosa15287-RA	Pocillopora_acuta_HIv1_PredGene_g30958.t1
OG0011386	Mcavernosa15278-RA, Mcavernosa15279-RA	Pocillopora_acuta_HIv1_PredGene_g30952.t1
OG0011387	Mcavernosa15277-RA	Pocillopora_acuta_HIv1_PredGene_g30951.t1
OG0011388	Mcavernosa15275-RA	Pocillopora_acuta_HIv1_PredGene_g30950.t1
OG0011389	Mcavernosa15274-RA	Pocillopora_acuta_HIv1_PredGene_g30949.t1
OG0011390	Mcavernosa13341-RA	Pocillopora_acuta_HIv1_PredGene_g25180.t1, Pocillopora_acuta_HIv1_PredGene_g14884.t1
OG0011391	Mcavernosa21184-RA	Pocillopora_acuta_HIv1_PredGene_g28224.t1
OG0011392	Mcavernosa21187-RA	Pocillopora_acuta_HIv1_PredGene_g28226.t1
OG0011393	Mcavernosa21185-RA	Pocillopora_acuta_HIv1_PredGene_g28225.t1
OG0011395	Mcavernosa22591-RA	Pocillopora_acuta_HIv1_PredGene_g11459.t1
OG0011396	Mcavernosa16525-RA	Pocillopora_acuta_HIv1_PredGene_g12605.t1
OG0011397	Mcavernosa02538-RA	Pocillopora_acuta_HIv1_PredGene_g6212.t1
OG0011402	Mcavernosa10008-RA	Pocillopora_acuta_HIv1_PredGene_g19741.t1
OG0011403	Mcavernosa10005-RA	Pocillopora_acuta_HIv1_PredGene_g19744.t1
OG0011404	Mcavernosa09994-RA	Pocillopora_acuta_HIv1_PredGene_g19738.t1
OG0011405	Mcavernosa09996-RA	Pocillopora_acuta_HIv1_PredGene_g19739.t1
OG0011406	Mcavernosa34544-RA	Pocillopora_acuta_HIv1_PredGene_g19520.t1
OG0011407	Mcavernosa34548-RA	Pocillopora_acuta_HIv1_PredGene_g19519.t1
OG0011408	Mcavernosa09998-RA	Pocillopora_acuta_HIv1_PredGene_g19740.t1
OG0011409	Mcavernosa06793-RA	Pocillopora_acuta_HIv1_PredGene_g12218.t1
OG0011410	Mcavernosa06792-RA	Pocillopora_acuta_HIv1_PredGene_g12221.t1
OG0011411	Mcavernosa24918-RA	Pocillopora_acuta_HIv1_PredGene_g20891.t1
OG0011412	Mcavernosa24919-RA	Pocillopora_acuta_HIv1_PredGene_g20892.t1
OG0011413	Mcavernosa24922-RA	Pocillopora_acuta_HIv1_PredGene_19046_t, Pocillopora_acuta_HIv1_PredGene_g20893.t1
OG0011414	Mcavernosa23004-RA	Pocillopora_acuta_HIv1_PredGene_g14774.t1
OG0011416	Mcavernosa34294-RA	Pocillopora_acuta_HIv1_PredGene_g24061.t1
OG0011417	Mcavernosa28377-RA	Pocillopora_acuta_HIv1_PredGene_g24062.t1
OG0011418	Mcavernosa28374-RA	Pocillopora_acuta_HIv1_PredGene_g30546.t1
OG0011419	Mcavernosa28373-RA	Pocillopora_acuta_HIv1_PredGene_g30545.t1
OG0011420	Mcavernosa28370-RA	Pocillopora_acuta_HIv1_PredGene_g30544.t1
OG0011421	Mcavernosa28383-RA	Pocillopora_acuta_HIv1_PredGene_g24059.t1
OG0011422	Mcavernosa14286-RA	Pocillopora_acuta_HIv1_PredGene_g8999.t1
OG0011423	Mcavernosa19491-RA	Pocillopora_acuta_HIv1_PredGene_g20433.t1
OG0011424	Mcavernosa23461-RA	Pocillopora_acuta_HIv1_PredGene_g20409.t1, Pocillopora_acuta_HIv1_PredGene_6890_t
OG0011425	Mcavernosa19476-RA	Pocillopora_acuta_HIv1_PredGene_g20449.t1
OG0011426	Mcavernosa19475-RA	Pocillopora_acuta_HIv1_PredGene_g20450.t1
OG0011427	Mcavernosa19494-RA	Pocillopora_acuta_HIv1_PredGene_g20437.t1
OG0011428	Mcavernosa03565-RA	Pocillopora_acuta_HIv1_PredGene_g4563.t1
OG0011429	Mcavernosa22882-RA	Pocillopora_acuta_HIv1_PredGene_g4625.t1
OG0011430	Mcavernosa03566-RA	Pocillopora_acuta_HIv1_PredGene_g4568.t1
OG0011431	Mcavernosa12006-RA	Pocillopora_acuta_HIv1_PredGene_g14785.t1
OG0011432	Mcavernosa12007-RA	Pocillopora_acuta_HIv1_PredGene_g14786.t1
OG0011433	Mcavernosa24112-RA	Pocillopora_acuta_HIv1_PredGene_g27668.t1
OG0011434	Mcavernosa06368-RA	Pocillopora_acuta_HIv1_PredGene_g12354.t1
OG0011435	Mcavernosa06369-RA	Pocillopora_acuta_HIv1_PredGene_g12355.t1
OG0011436	Mcavernosa17550-RA	Pocillopora_acuta_HIv1_PredGene_g29214.t1
OG0011438	Mcavernosa05728-RA	Pocillopora_acuta_HIv1_PredGene_g26589.t1
OG0011439	Mcavernosa05727-RA	Pocillopora_acuta_HIv1_PredGene_g26588.t1
OG0011441	Mcavernosa23297-RA	Pocillopora_acuta_HIv1_PredGene_g29283.t1
OG0011443	Mcavernosa22615-RA	Pocillopora_acuta_HIv1_PredGene_g31157.t1
OG0011444	Mcavernosa31774-RA	Pocillopora_acuta_HIv1_PredGene_g30349.t1
OG0011446	Mcavernosa15462-RA	Pocillopora_acuta_HIv1_PredGene_g30716.t1
OG0011447	Mcavernosa15465-RA	Pocillopora_acuta_HIv1_PredGene_5122_t, Pocillopora_acuta_HIv1_PredGene_g30727.t1
OG0011448	Mcavernosa14816-RA	Pocillopora_acuta_HIv1_PredGene_g16527.t1
OG0011449	Mcavernosa14817-RA	Pocillopora_acuta_HIv1_PredGene_g16528.t1
OG0011450	Mcavernosa08308-RA	Pocillopora_acuta_HIv1_PredGene_g16533.t1
OG0011451	Mcavernosa08312-RA	Pocillopora_acuta_HIv1_PredGene_g16535.t1
OG0011452	Mcavernosa08313-RA	Pocillopora_acuta_HIv1_PredGene_g16536.t1
OG0011453	Mcavernosa04412-RA	Pocillopora_acuta_HIv1_PredGene_g5795.t1
OG0011454	Mcavernosa04405-RA	Pocillopora_acuta_HIv1_PredGene_g5821.t1
OG0011455	Mcavernosa17220-RA	Pocillopora_acuta_HIv1_PredGene_g30143.t1
OG0011456	Mcavernosa17222-RA	Pocillopora_acuta_HIv1_PredGene_g30144.t1
OG0011457	Mcavernosa01689-RA, Mcavernosa01687-RA	Pocillopora_acuta_HIv1_PredGene_g5251.t1
OG0011458	Mcavernosa09744-RA	Pocillopora_acuta_HIv1_PredGene_g13753.t1
OG0011459	Mcavernosa00289-RA	Pocillopora_acuta_HIv1_PredGene_g6314.t1
OG0011460	Mcavernosa14337-RA	Pocillopora_acuta_HIv1_PredGene_g5178.t1
OG0011462	Mcavernosa14339-RA	Pocillopora_acuta_HIv1_PredGene_g5174.t1
OG0011463	Mcavernosa29891-RA	Pocillopora_acuta_HIv1_PredGene_g3899.t1
OG0011464	Mcavernosa29886-RA	Pocillopora_acuta_HIv1_PredGene_g3891.t1
OG0011465	Mcavernosa10630-RA	Pocillopora_acuta_HIv1_PredGene_g3889.t1
OG0011466	Mcavernosa29894-RA	Pocillopora_acuta_HIv1_PredGene_g3901.t1
OG0011467	Mcavernosa29890-RA	Pocillopora_acuta_HIv1_PredGene_g3898.t1
OG0011468	Mcavernosa29889-RA	Pocillopora_acuta_HIv1_PredGene_g3896.t1
OG0011469	Mcavernosa03336-RA	Pocillopora_acuta_HIv1_PredGene_g8038.t1
OG0011470	Mcavernosa03331-RA	Pocillopora_acuta_HIv1_PredGene_g8041.t1
OG0011471	Mcavernosa03329-RA	Pocillopora_acuta_HIv1_PredGene_g8043.t1
OG0011472	Mcavernosa03308-RA	Pocillopora_acuta_HIv1_PredGene_g8061.t1
OG0011473	Mcavernosa03317-RA	Pocillopora_acuta_HIv1_PredGene_g8053.t1
OG0011474	Mcavernosa03307-RA	Pocillopora_acuta_HIv1_PredGene_g8062.t1
OG0011475	Mcavernosa03306-RA	Pocillopora_acuta_HIv1_PredGene_g8063.t1
OG0011476	Mcavernosa32123-RA	Pocillopora_acuta_HIv1_PredGene_g14685.t1
OG0011477	Mcavernosa05135-RA	Pocillopora_acuta_HIv1_PredGene_g28196.t1
OG0011478	Mcavernosa05136-RA	Pocillopora_acuta_HIv1_PredGene_g28195.t1
OG0011479	Mcavernosa05140-RA	Pocillopora_acuta_HIv1_PredGene_g28191.t1
OG0011481	Mcavernosa31106-RA	Pocillopora_acuta_HIv1_PredGene_g16749.t1
OG0011482	Mcavernosa30993-RA	Pocillopora_acuta_HIv1_PredGene_g12935.t1
OG0011483	Mcavernosa30996-RA	Pocillopora_acuta_HIv1_PredGene_g12937.t1
OG0011484	Mcavernosa25224-RA	Pocillopora_acuta_HIv1_PredGene_g15321.t1
OG0011485	Mcavernosa08144-RA	Pocillopora_acuta_HIv1_PredGene_g10959.t1
OG0011486	Mcavernosa12298-RA	Pocillopora_acuta_HIv1_PredGene_g32622.t1
OG0011487	Mcavernosa26843-RA	Pocillopora_acuta_HIv1_PredGene_g32620.t1, Pocillopora_acuta_HIv1_PredGene_27561_t
OG0011488	Mcavernosa26839-RA	Pocillopora_acuta_HIv1_PredGene_g32615.t1
OG0011489	Mcavernosa26832-RA	Pocillopora_acuta_HIv1_PredGene_g32614.t1
OG0011490	Mcavernosa32887-RA	Pocillopora_acuta_HIv1_PredGene_g32613.t1
OG0011491	Mcavernosa26840-RA	Pocillopora_acuta_HIv1_PredGene_g32616.t1
OG0011495	Mcavernosa06341-RA	Pocillopora_acuta_HIv1_PredGene_g13839.t1
OG0011496	Mcavernosa30876-RA	Pocillopora_acuta_HIv1_PredGene_g20124.t1
OG0011497	Mcavernosa13567-RA	Pocillopora_acuta_HIv1_PredGene_g31756.t1
OG0011498	Mcavernosa13568-RA	Pocillopora_acuta_HIv1_PredGene_g31753.t1
OG0011499	Mcavernosa30888-RA	Pocillopora_acuta_HIv1_PredGene_g20132.t1
OG0011500	Mcavernosa30901-RA	Pocillopora_acuta_HIv1_PredGene_g20112.t1
OG0011501	Mcavernosa30910-RA	Pocillopora_acuta_HIv1_PredGene_g20102.t1
OG0011502	Mcavernosa30902-RA	Pocillopora_acuta_HIv1_PredGene_g20111.t1
OG0011503	Mcavernosa30883-RA	Pocillopora_acuta_HIv1_PredGene_g20129.t1
OG0011504	Mcavernosa30884-RA	Pocillopora_acuta_HIv1_PredGene_g20130.t1
OG0011505	Mcavernosa30889-RA	Pocillopora_acuta_HIv1_PredGene_g20133.t1
OG0011506	Mcavernosa30892-RA	Pocillopora_acuta_HIv1_PredGene_g20135.t1
OG0011507	Mcavernosa16806-RA	Pocillopora_acuta_HIv1_PredGene_g20525.t1
OG0011508	Mcavernosa14552-RA	Pocillopora_acuta_HIv1_PredGene_g18223.t1
OG0011509	Mcavernosa14551-RA	Pocillopora_acuta_HIv1_PredGene_g30825.t1
OG0011510	Mcavernosa06854-RA	Pocillopora_acuta_HIv1_PredGene_g30839.t1
OG0011511	Mcavernosa14546-RA	Pocillopora_acuta_HIv1_PredGene_g30829.t1
OG0011513	Mcavernosa32718-RA	Pocillopora_acuta_HIv1_PredGene_g14073.t1
OG0011514	Mcavernosa32719-RA	Pocillopora_acuta_HIv1_PredGene_g14072.t1
OG0011515	Mcavernosa14626-RA	Pocillopora_acuta_HIv1_PredGene_g14372.t1
OG0011516	Mcavernosa06912-RA	Pocillopora_acuta_HIv1_PredGene_g18272.t1
OG0011517	Mcavernosa06911-RA	Pocillopora_acuta_HIv1_PredGene_g18273.t1
OG0011518	Mcavernosa02110-RA	Pocillopora_acuta_HIv1_PredGene_g29168.t1
OG0011519	Mcavernosa02109-RA	Pocillopora_acuta_HIv1_PredGene_g29164.t1
OG0011522	Mcavernosa10739-RA	Pocillopora_acuta_HIv1_PredGene_g14472.t1
OG0011523	Mcavernosa31821-RA	Pocillopora_acuta_HIv1_PredGene_g4073.t1
OG0011524	Mcavernosa31812-RA	Pocillopora_acuta_HIv1_PredGene_g15437.t1
OG0011525	Mcavernosa31815-RA	Pocillopora_acuta_HIv1_PredGene_g15440.t1
OG0011526	Mcavernosa31811-RA	Pocillopora_acuta_HIv1_PredGene_g15436.t1
OG0011527	Mcavernosa31810-RA	Pocillopora_acuta_HIv1_PredGene_g15435.t1
OG0011528	Mcavernosa14749-RA	Pocillopora_acuta_HIv1_PredGene_g5333.t1
OG0011529	Mcavernosa14748-RA	Pocillopora_acuta_HIv1_PredGene_g5335.t1
OG0011530	Mcavernosa14751-RA	Pocillopora_acuta_HIv1_PredGene_g5332.t1
OG0011531	Mcavernosa29336-RA	Pocillopora_acuta_HIv1_PredGene_g21766.t1
OG0011533	Mcavernosa09481-RA	Pocillopora_acuta_HIv1_PredGene_g7132.t1
OG0011534	Mcavernosa09480-RA	Pocillopora_acuta_HIv1_PredGene_g7133.t1
OG0011536	Mcavernosa10480-RA	Pocillopora_acuta_HIv1_PredGene_g10204.t1
OG0011537	Mcavernosa10482-RA	Pocillopora_acuta_HIv1_PredGene_g10202.t1
OG0011538	Mcavernosa10483-RA	Pocillopora_acuta_HIv1_PredGene_g10201.t1
OG0011539	Mcavernosa10484-RA	Pocillopora_acuta_HIv1_PredGene_g10200.t1
OG0011540	Mcavernosa29943-RA	Pocillopora_acuta_HIv1_PredGene_g15658.t1
OG0011542	Mcavernosa27020-RA	Pocillopora_acuta_HIv1_PredGene_g32204.t1
OG0011543	Mcavernosa27019-RA	Pocillopora_acuta_HIv1_PredGene_g32202.t1
OG0011544	Mcavernosa24515-RA	Pocillopora_acuta_HIv1_PredGene_g32190.t1
OG0011545	Mcavernosa27027-RA	Pocillopora_acuta_HIv1_PredGene_g32201.t1
OG0011546	Mcavernosa24521-RA	Pocillopora_acuta_HIv1_PredGene_g32193.t1
OG0011547	Mcavernosa24523-RA	Pocillopora_acuta_HIv1_PredGene_g32195.t1
OG0011549	Mcavernosa27017-RA	Pocillopora_acuta_HIv1_PredGene_g32203.t1
OG0011550	Mcavernosa20558-RA	Pocillopora_acuta_HIv1_PredGene_g32186.t1
OG0011551	Mcavernosa24512-RA	Pocillopora_acuta_HIv1_PredGene_g32189.t1
OG0011552	Mcavernosa13479-RA	Pocillopora_acuta_HIv1_PredGene_g14119.t1
OG0011553	Mcavernosa03617-RA	Pocillopora_acuta_HIv1_PredGene_g204.t1
OG0011555	Mcavernosa27953-RA	Pocillopora_acuta_HIv1_PredGene_g7666.t1
OG0011556	Mcavernosa27950-RA	Pocillopora_acuta_HIv1_PredGene_g7663.t1
OG0011557	Mcavernosa27949-RA	Pocillopora_acuta_HIv1_PredGene_g7662.t1
OG0011559	Mcavernosa23164-RA	Pocillopora_acuta_HIv1_PredGene_g19624.t1
OG0011560	Mcavernosa23156-RA	Pocillopora_acuta_HIv1_PredGene_g19619.t1
OG0011561	Mcavernosa23163-RA	Pocillopora_acuta_HIv1_PredGene_g19622.t1
OG0011562	Mcavernosa23153-RA	Pocillopora_acuta_HIv1_PredGene_g19616.t1
OG0011563	Mcavernosa23154-RA	Pocillopora_acuta_HIv1_PredGene_g19617.t1
OG0011565	Mcavernosa07651-RA	Pocillopora_acuta_HIv1_PredGene_g29786.t1
OG0011566	Mcavernosa07655-RA	Pocillopora_acuta_HIv1_PredGene_g29790.t1
OG0011567	Mcavernosa07656-RA	Pocillopora_acuta_HIv1_PredGene_g29791.t1
OG0011568	Mcavernosa07654-RA	Pocillopora_acuta_HIv1_PredGene_g29789.t1
OG0011570	Mcavernosa08606-RA	Pocillopora_acuta_HIv1_PredGene_g3926.t1
OG0011571	Mcavernosa08608-RA	Pocillopora_acuta_HIv1_PredGene_g3923.t1
OG0011572	Mcavernosa10380-RA	Pocillopora_acuta_HIv1_PredGene_g33122.t1
OG0011573	Mcavernosa15731-RA	Pocillopora_acuta_HIv1_PredGene_g18786.t1
OG0011574	Mcavernosa12273-RA, Mcavernosa09035-RA	Pocillopora_acuta_HIv1_PredGene_g11796.t1
OG0011575	Mcavernosa22432-RA	Pocillopora_acuta_HIv1_PredGene_g25410.t1
OG0011576	Mcavernosa29337-RA	Pocillopora_acuta_HIv1_PredGene_g21765.t2, Pocillopora_acuta_HIv1_PredGene_15191_t, Pocillopora_acuta_HIv1_PredGene_g21765.t1
OG0011577	Mcavernosa21271-RA	Pocillopora_acuta_HIv1_PredGene_g8292.t1
OG0011578	Mcavernosa21272-RA	Pocillopora_acuta_HIv1_PredGene_g8293.t1
OG0011579	Mcavernosa21264-RA	Pocillopora_acuta_HIv1_PredGene_g8285.t1
OG0011580	Mcavernosa00072-RA	Pocillopora_acuta_HIv1_PredGene_g8274.t1
OG0011581	Mcavernosa00071-RA	Pocillopora_acuta_HIv1_PredGene_g8273.t1
