"","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2"
"gene-LOC113677728|LOC113677728",232,58,136,90,245,415,230,296,130,143,359,35
"gene-LOC113686210|LOC113686210",101,163,155,140,90,166,160,200,253,240,162,109
"gene-LOC113673972|LOC113673972",1852,524,5138,4753,1940,2142,1494,1318,4798,5811,2382,1367
"gene-LOC113679025|LOC113679025",91,16,1269,313,142,128,72,90,668,467,261,107
"rna-XM_027201640.1",510,117,1600,1153,303,262,213,377,1023,1149,519,363
"STRG.5704|LOC113684848",74,54,109,50,38,77,116,100,102,45,69,65
"gene-LOC113685989|LOC113685989",149,86,60,230,196,175,162,146,137,33,196,171
"rna-XR_003447402.1",31,17,17,19,26,40,35,41,22,19,36,15
"gene-LOC113672990|LOC113672990",814,808,368,64,774,786,898,341,255,787,588,649
"rna-XM_027180040.1",66,64,1670,288,105,109,100,101,876,615,149,480
"gene-LOC113680964|LOC113680964",138,84,407,395,116,138,114,170,473,458,233,123
"gene-LOC113670426|LOC113670426",132,85,17,44,83,117,138,182,64,73,141,67
"gene-LOC113681072|LOC113681072",302,468,312,191,161,479,240,282,533,393,349,153
"gene-LOC113665371|LOC113665371",42,34,34,22,27,61,32,57,24,29,58,25
"rna-XM_027181285.1",41,6,87,101,52,20,40,38,243,163,66,25
"rna-XM_027194038.1",228,310,250,388,300,376,337,305,377,389,276,317
"rna-XM_027181429.1",68,117,49,81,52,83,75,82,108,71,89,39
"STRG.4605|LOC113680007",50,31,55,60,39,81,128,106,86,56,54,36
"rna-XM_027180060.1",104,49,27,0,89,48,38,152,22,24,116,18
"rna-XM_027191617.1",48,27,147,210,39,57,61,49,181,196,69,36
"gene-LOC113677713|LOC113677713",171,181,134,237,109,160,190,199,159,163,145,88
"rna-XM_027191867.1",61,50,17,3,27,32,92,78,9,8,55,30
"rna-XM_027196821.1",183,62,1073,1370,135,199,116,106,679,997,329,328
"gene-LOC113685563|LOC113685563",45,10,937,287,33,34,7,8,395,566,79,79
