Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000036	plut2.m8.29667.m1, plut2.m8.21461.m1	Mcavernosa01964-RA
OG0000036	plut2.m8.21475.m1, plut2.m8.21474.m1, plut2.m8.21481.m1	Mcavernosa01967-RA
OG0000036	plut2.m8.12441.m1	Mcavernosa16945-RA
OG0000036	plut2.m8.30939.m1	Mcavernosa13380-RA, Mcavernosa13381-RA
OG0000036	plut2.m8.18058.m1	Mcavernosa03513-RA
OG0000036	plut2.m8.32972.m1	Mcavernosa28336-RA, Mcavernosa01966-RA, Mcavernosa28335-RA
OG0000036	plut2.m8.21460.m1, plut2.m8.29664.m1, plut2.m8.21468.m1, plut2.m8.21469.m1	Mcavernosa28333-RA
OG0000038	plut2.m8.12694.m1, plut2.m8.21941.m1	Mcavernosa13579-RA
OG0000039	plut2.m8.32130.m1	Mcavernosa23025-RA
OG0000039	plut2.m8.19859.m1	Mcavernosa30760-RA, Mcavernosa14857-RA, Mcavernosa21255-RA, Mcavernosa21256-RA, Mcavernosa01233-RA
OG0000039	plut2.m8.22556.m1, plut2.m8.24244.m1, plut2.m8.23187.m1, plut2.m8.10031.m1, plut2.m8.32928.m1, plut2.m8.25430.m1, plut2.m8.23086.m1, plut2.m8.10417.m1, plut2.m8.16912.m1, plut2.m8.11710.m1, plut2.m8.9326.m1, plut2.m8.31391.m1, plut2.m8.16711.m1, plut2.m8.9436.m1, plut2.m8.5565.m1, plut2.m8.1675.m1, plut2.m8.1676.m1, plut2.m8.2390.m1, plut2.m8.30581.m1, plut2.m8.19182.m1, plut2.m8.20955.m1, plut2.m8.33553.m1, plut2.m8.4770.m1, plut2.m8.9936.m1, plut2.m8.29630.m1, plut2.m8.29333.m1, plut2.m8.21521.m1, plut2.m8.13322.m1, plut2.m8.18942.m1, plut2.m8.23089.m1, plut2.m8.23968.m1, plut2.m8.7830.m1, plut2.m8.22674.m1, plut2.m8.12008.m1, plut2.m8.23433.m1, plut2.m8.4523.m1	Mcavernosa03395-RA
OG0000041	plut2.m8.14059.m1, plut2.m8.9353.m1, plut2.m8.33464.m1, plut2.m8.4941.m1	Mcavernosa33475-RA
OG0000041	plut2.m8.15112.m1, jamg1.model.Sc0000211.52	Mcavernosa19027-RA, Mcavernosa17537-RA
OG0000041	plut2.m8.2018.m1	Mcavernosa17819-RA
OG0000043	plut2.m8.6814.m1, plut2.m8.6813.m1, plut2.m8.4891.m1, plut2.m8.4890.m1, plut2.m8.18055.m1, plut2.m8.4892.m1, plut2.m8.4886.m1, plut2.m8.4888.m1, plut2.m8.33462.m1, plut2.m8.4895.m1, plut2.m8.18049.m1	Mcavernosa11047-RA
OG0000043	plut2.m8.8494.m1	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000044	plut2.m8.33178.m1	Mcavernosa31912-RA
OG0000044	plut2.m8.33593.m1	Mcavernosa31910-RA
OG0000044	plut2.m8.23125.m1, plut2.m8.31121.m1, plut2.m8.23122.m1, plut2.m8.31122.m1, plut2.m8.23132.m1, plut2.m8.23131.m1, plut2.m8.23127.m1, plut2.m8.23133.m1	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa31911-RA
OG0000045	jamg1.model.Sc0000672.8	Mcavernosa33134-RA, Mcavernosa24793-RA
OG0000045	plut2.m8.23609.m1	Mcavernosa07115-RA
OG0000047	plut2.m8.19849.m1	Mcavernosa21359-RA
OG0000047	plut2.m8.14135.m1, plut2.m8.8953.m1, plut2.m8.32349.m1	Mcavernosa08538-RA, Mcavernosa14861-RA, Mcavernosa19212-RA
OG0000048	plut2.m8.3413.m1, plut2.m8.26442.m1	Mcavernosa09943-RA
OG0000049	plut2.m8.23361.m1, jamg1.model.Sc0000523.32, jamg1.model.Sc0000023.123, plut2.m8.16108.m1	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA
OG0000051	jamg1.model.Sc0000612.3, jamg1.model.Sc0000827.7, jamg1.model.Sc0000377.15, jamg1.model.Sc0000141.73, jamg1.model.Sc0000076.44, jamg1.model.xpSc0007185.7, jamg1.model.xpSc0007481.6, jamg1.model.Sc0000500.16, jamg1.model.Sc0000415.14, jamg1.model.Sc0000415.17, jamg1.model.xpSc0007090.11, jamg1.model.Sc0000606.7, jamg1.model.Sc0000213.22, jamg1.model.Sc0000207.22, jamg1.model.Sc0000089.4, jamg1.model.Sc0000122.53, jamg1.model.Sc0000034.113, jamg1.model.Sc0000326.7, jamg1.model.Sc0000092.10, jamg1.model.Sc0000500.15, jamg1.model.Sc0000084.75, jamg1.model.Sc0000213.18, jamg1.model.Sc0000101.74, jamg1.model.xfSc0000241.14, jamg1.model.xpSc0007153.12, jamg1.model.xpSc0007481.5, jamg1.model.xpSc0007261.8, jamg1.model.Sc0000244.47, plut2.m8.11151.m1, jamg1.model.Sc0000546.8, jamg1.model.xfSc0000010.12, jamg1.model.Sc0000009.46, jamg1.model.Sc0000214.15, jamg1.model.Sc0000653.9, jamg1.model.xpSc0007232.11, jamg1.model.Sc0000254.7, jamg1.model.Sc0000456.17	Mcavernosa09517-RA
OG0000053	jamg1.model.Sc0000013.139, plut2.m8.1796.m1	Mcavernosa32765-RA, Mcavernosa23210-RA
OG0000053	plut2.m8.24625.m1	Mcavernosa23212-RA
OG0000054	plut2.m8.30343.m1, plut2.m8.30853.m1, plut2.m8.13233.m1, plut2.m8.32975.m1	Mcavernosa02136-RA
OG0000054	jamg1.model.Sc0000523.31	Mcavernosa14358-RA
OG0000054	plut2.m8.3119.m1, plut2.m8.16508.m1	Mcavernosa04969-RA
OG0000055	plut2.m8.25591.m1, plut2.m8.25596.m1, plut2.m8.25597.m1, plut2.m8.25590.m1, plut2.m8.20050.m1, plut2.m8.20051.m1, plut2.m8.5831.m1, plut2.m8.26060.m1, plut2.m8.26062.m1	Mcavernosa34575-RA
OG0000055	plut2.m8.17728.m1, plut2.m8.17726.m1	Mcavernosa12136-RA
OG0000056	plut2.m8.7800.m1	Mcavernosa07912-RA
OG0000056	plut2.m8.10236.m1, plut2.m8.10237.m1	Mcavernosa07913-RA, Mcavernosa07916-RA
OG0000057	plut2.m8.25326.m1, plut2.m8.33221.m1, plut2.m8.33434.m1, plut2.m8.33142.m1, jamg1.model.xfSc0000223.2, jamg1.model.Sc0000688.5, jamg1.model.Sc0000079.10, plut2.m8.7706.m1, plut2.m8.25327.m1, plut2.m8.7686.m1, plut2.m8.33222.m1, plut2.m8.33525.m1, jamg1.model.Sc0000079.4, plut2.m8.7692.m1, plut2.m8.7696.m1, plut2.m8.7694.m1, plut2.m8.7688.m1, plut2.m8.33141.m1, plut2.m8.7697.m1, plut2.m8.7693.m1, plut2.m8.31459.m1, jamg1.model.Sc0000688.7, jamg1.model.Sc0000688.9, jamg1.model.Sc0000689.3, plut2.m8.25328.m1, jamg1.model.Sc0000079.8, plut2.m8.7685.m1, plut2.m8.31530.m1, plut2.m8.497.m1, jamg1.model.xfSc0000020.43, plut2.m8.27617.m1, plut2.m8.27613.m1	Mcavernosa20864-RA
