,gene_id,length
9689,LOC110043387,7681
9697,LOC110043506,42523
9768,LOC110043369,11095
9796,LOC110043369,11095
9827,LOC110043517,11138
9839,LOC110043526,2486
9850,LOC110043398,4097
9854,LOC110043410,1098
9858,LOC110043536,15374
9872,LOC110043236,6661
9879,LOC110043236,5930
9885,LOC110043545,8834
9897,LOC110043453,3609
9908,LOC110043555,5010
9916,LOC110043262,7274
9955,LOC110043832,2649
9965,LOC110044036,1522
9969,LOC110043587,753
9975,LOC110043810,1564
9979,LOC110043781,2750
9983,LOC110043752,1813
9989,LOC110043606,944
9993,LOC110043576,2712
9997,LOC110043821,2882
10001,LOC110044047,7179
10006,LOC110043989,1724
10015,LOC110043843,1295
10021,LOC110043864,59623
10033,LOC110043864,59622
10047,LOC110043719,2187
10056,LOC110043719,2187
10067,LOC110043966,5967
10082,LOC110043966,5966
10097,LOC110043966,5966
10113,LOC110043914,5246
10127,LOC110043903,6704
10149,LOC110043880,6021
10164,LOC110043880,6020
10180,LOC110043893,5321
10190,LOC110044088,2917
10194,LOC110043691,11175
10201,LOC110043691,11175
10207,LOC110043691,8195
10213,LOC110043612,12637
10241,LOC110044058,9080
10270,LOC110044058,9080
10302,LOC110044006,10497
10325,LOC110043770,13358
10348,LOC110043623,4077
10366,LOC110043926,27620
10408,LOC110043946,2959
10412,LOC110043935,19445
10446,LOC110043957,4369
10458,LOC110043734,1478
10462,LOC110043710,2274
10472,LOC110043675,8301
10477,LOC110043675,4484
10483,LOC110043634,20701
10493,LOC110043762,1413
10503,LOC110043797,2637
10509,LOC110043786,1590
10515,LOC110043645,2000
10521,LOC110044020,9249
10527,LOC110044028,10136
10537,LOC110043656,9158
10560,LOC110043667,13844
10579,LOC110044194,9496
10588,LOC110044166,4524
10594,LOC110044127,5830
10610,LOC110044180,1267
10614,LOC110044155,3310
10620,LOC110044145,13034
10646,LOC110044137,3003
10656,LOC110044503,22865
10660,LOC110044503,22865
10666,LOC110044503,22865
10671,LOC110044503,22865
10678,LOC110044715,4847
10690,LOC110044206,12096
10704,LOC110044206,12096
10719,LOC110044206,12096
10735,LOC110044206,12096
10750,LOC110044206,6803
10767,LOC110044237,3947
10779,LOC110044245,1806
10783,LOC110044569,1539
10790,LOC110044106,2291
10796,LOC110044591,23599
10836,LOC110044398,14842
10842,LOC110044600,7197
10848,LOC110044748,2015
10852,LOC110044726,4065
10856,LOC110044738,4937
10874,LOC110044671,1864
10884,LOC110044682,5548
10896,LOC110044689,3064
10903,LOC110044755,3442
10907,LOC110044117,2203
10911,LOC110044464,4732
10918,LOC110044482,1933
10926,LOC110044473,10767
10948,LOC110044492,16510
10976,LOC110044426,5756
10980,LOC110044426,5756
10986,LOC110044419,13924
10998,LOC110044444,1953
11002,LOC110044558,1413
11006,LOC110044541,6516
11019,LOC110044541,5943
11030,LOC110044541,5878
11041,LOC110044256,16698
11072,LOC110044256,15447
11102,LOC110044342,2504
11115,LOC110044334,2504
11128,LOC110044323,9830
11148,LOC110044312,8155
11166,LOC110044271,18921
11203,LOC110044271,18920
11239,LOC110044284,10853
11246,LOC110044284,8485
11253,LOC110044284,8485
11262,LOC110044284,8485
11271,LOC110044408,7847
11281,LOC110044700,7873
11294,LOC110044700,7873
11306,LOC110044096,6544
11316,LOC110044353,14579
11326,LOC110044455,9266
11336,LOC110044371,5295
11342,LOC110044360,20862
11382,LOC110044629,7271
11398,LOC110044640,28208
11453,LOC110044382,10828
11503,LOC110044773,4605
11510,LOC110044773,4433
11517,LOC110044797,859
11523,LOC110044818,2574
11533,LOC110044786,3516
11543,LOC110044807,5257
11558,LOC110045160,5792
11572,LOC110044864,2133
11582,LOC110044876,4880
11594,LOC110044886,24534
11602,LOC110044898,28337
11692,LOC110045021,5734
11713,LOC110045012,3518
11723,LOC110044908,4880
11745,LOC110044919,1679
11759,LOC110045057,10935
11777,LOC110045046,3833
11787,LOC110044930,11456
11825,LOC110045030,15160
11841,LOC110045037,7310
11869,LOC110044939,8072
11889,LOC110044949,11378
11903,LOC110044957,2831
11913,LOC110044966,15929
11931,LOC110044976,8626
11947,LOC110045072,81151
11951,LOC110045072,15052
11955,LOC110045072,11309
11959,LOC110045072,6641
11963,LOC110045072,6127
11967,LOC110045072,4774
11971,LOC110045072,4774
11976,LOC110045119,770
11982,LOC110044985,14579
12001,LOC110045172,3823
12007,LOC110045172,2967
12014,LOC110045150,6725
12020,LOC110045138,22305
12047,LOC110044994,13118
12069,LOC110044830,1874
12101,LOC110045203,5430
12113,LOC110045359,18891
12145,LOC110045243,3224
12155,LOC110045265,5782
12167,LOC110045221,12349
12183,LOC110045233,1342
12247,LOC110045370,10765
12267,LOC110045254,9774
12283,LOC110045381,13104
12309,LOC110045393,6515
12325,LOC110045284,53176
12365,LOC110045284,53175
12406,LOC110045284,44740
12447,LOC110045284,41013
12488,LOC110045284,38495
12528,LOC110045284,29844
12568,LOC110045284,27889
12609,LOC110045284,17548
12649,LOC110045336,30483
12702,LOC110045336,29593
12753,LOC110045336,26996
12807,LOC110045430,1953
12811,LOC110045440,7853
12821,LOC110045275,2747
12841,LOC110045756,4767
12884,LOC110045522,25071
12915,LOC110045540,3927
12925,LOC110045765,1785
12933,LOC110045775,19435
12967,LOC110045786,4903
12979,LOC110045695,8264
12995,LOC110045511,3231
13003,LOC110045809,4898
13011,LOC110045721,2918
13015,LOC110045704,15334
13028,LOC110045704,8836
13051,LOC110045894,1740
13059,LOC110045585,3440
13065,LOC110045558,4180
13071,LOC110045568,10282
13075,LOC110045568,10282
13080,LOC110045738,2712
13084,LOC110045730,10745
13103,LOC110045596,9334
13121,LOC110045820,7186
13133,LOC110045616,3377
13137,LOC110045607,18001
13165,LOC110045902,5126
13181,LOC110045831,11359
13209,LOC110045840,13290
13255,LOC110045627,7986
13262,LOC110045462,1394
13266,LOC110045851,41138
13336,LOC110045471,2416
13344,LOC110045919,7255
13362,LOC110045911,8751
13380,LOC110045892,19082
13401,LOC110045859,12126
13423,LOC110045648,9888
13437,LOC110045639,38894
13486,LOC110045658,11158
13509,LOC110045658,12297
13532,LOC110045658,12297
13556,LOC110045675,27498
13580,LOC110045675,27498
13604,LOC110045675,27498
13629,LOC110045869,10666
13657,LOC110045881,4836
13677,LOC110045481,2221
13689,LOC110045747,3402
13749,LOC110045938,1751
13756,LOC110046362,33170
13764,LOC110046362,16408
13773,LOC110046362,5516
13782,LOC110046327,28096
13796,LOC110045948,4431
13806,LOC110046431,11929
13828,LOC110046052,2773
13832,LOC110045960,15010
13865,LOC110046204,8536
13882,LOC110046204,8536
13900,LOC110046204,8533
13920,LOC110046230,8432
13938,LOC110046230,8432
13955,LOC110046230,7763
13975,LOC110046153,8449
13993,LOC110046153,6699
14012,LOC110046171,9505
14030,LOC110046171,6739
14060,LOC110046186,6728
14078,LOC110046346,14337
14100,LOC110046346,14336
14125,LOC110045967,8845
14141,LOC110045978,5952
14155,LOC110045986,15438
14179,LOC110046063,3443
14185,LOC110046298,7008
14191,LOC110046298,6431
14198,LOC110046269,4706
14205,LOC110046259,8053
14211,LOC110046279,14162
14217,LOC110046279,10079
14223,LOC110046279,10079
14231,LOC110045997,3114
14235,LOC110046131,2418
14239,LOC110046110,13933
14245,LOC110046110,13933
14252,LOC110046110,13226
14259,LOC110046092,7048
14284,LOC110046092,7048
14312,LOC110046141,5420
14320,LOC110046141,5420
14328,LOC110046082,6298
14332,LOC110046010,3854
14336,LOC110046336,8529
14346,LOC110046020,13676
14373,LOC110046037,5562
14388,LOC110046037,4667
14408,LOC110046423,2716
14414,LOC110046414,1586
14418,LOC110046316,1640
14434,LOC110046474,2507
14444,LOC110047106,19893
14481,LOC110047106,19892
14517,LOC110046591,15310
14561,LOC110046841,2702
14565,LOC110046851,24021
14621,LOC110046576,40555
14663,LOC110046576,40555
14711,LOC110046602,27093
14750,LOC110046602,27093
14796,LOC110047122,11980
14809,LOC110047122,6169
14823,LOC110046515,4827
14831,LOC110046505,1611
14835,LOC110047195,1982
14839,LOC110046629,3020
14843,LOC110046636,2732
14855,LOC110046618,12069
14879,LOC110047096,8146
14911,LOC110047086,1103
14915,LOC110047135,6795
14935,LOC110047135,6794
14955,LOC110047135,6603
14976,LOC110047135,6603
14998,LOC110046873,2594
15008,LOC110046532,1213
15012,LOC110046883,9634
15020,LOC110047043,23644
15033,LOC110047043,21513
15047,LOC110046796,1821
15051,LOC110046893,15357
15093,LOC110047068,8995
15115,LOC110046902,36048
15158,LOC110046646,9801
15178,LOC110047056,20004
15222,LOC110046822,8235
15227,LOC110046833,2299
15235,LOC110046708,16379
15265,LOC110046699,1701
15271,LOC110046913,4548
15279,LOC110046682,19363
15288,LOC110046682,92144
15310,LOC110046659,6879
15316,LOC110046670,1769
15323,LOC110046808,25066
15332,LOC110046808,24835
15342,LOC110046923,1109
15346,LOC110046934,3850
15356,LOC110046946,5480
15374,LOC110047165,1333
15378,LOC110046495,2308
15382,LOC110046769,3420
15394,LOC110046738,20487
15444,LOC110046743,29383
15449,LOC110046743,8633
15454,LOC110046758,5808
15468,LOC110046483,14049
15478,LOC110046978,1798
15482,LOC110046990,2189
15486,LOC110047184,10313
15494,LOC110047174,4098
15502,LOC110047001,5918
15516,LOC110046785,21160
15527,LOC110046776,14056
15561,LOC110047009,11189
15614,LOC110047016,4386
15619,LOC110047204,12692
15635,LOC110047026,1792
15639,LOC110047034,1130
15649,LOC110047403,1113
15653,LOC110047620,1040
15666,LOC110047272,4999
15674,LOC110047609,4990
15682,LOC110047230,10561
15690,LOC110047304,4948
15698,LOC110047324,4972
15706,LOC110047645,18199
15713,LOC110047634,4588
15723,LOC110047294,923
15727,LOC110047662,1290
15738,LOC110047593,3278
15744,LOC110047679,3050
15748,LOC110047573,1337
15752,LOC110047583,804
15756,LOC110047419,30338
15781,LOC110047419,29263
15804,LOC110047419,29245
15829,LOC110047441,3132
15839,LOC110047452,10201
15847,LOC110047411,22765
15875,LOC110047462,5749
15891,LOC110047259,5475
15909,LOC110047486,7559
15915,LOC110047475,3634
15925,LOC110047495,7097
15937,LOC110047505,14734
15955,LOC110047516,80128
15974,LOC110047527,5499
15991,LOC110047688,2799
16011,LOC110047393,1310
16027,LOC110047335,1550
16033,LOC110047346,2222
16039,LOC110047738,5772
16050,LOC110047789,93059
