"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3450_pilon.3",494.415251175838,-0.87286817257862,0.230211512875559,-3.79159218266572,0.000149684568296631,0.0148714085930752,"CvsT2",604,740,852,488,996,368,608,542,226,215,325,838,213
"Acerv_evm.TU.Segkk2117_pilon.21",32.3489220780501,-1.82067086185947,0.337522374593176,-5.3942227209499,6.88208114024082e-08,3.27478397836407e-05,"CvsT2",45,30,17,32,61,27,40,28,26,18,24,44,16
"Acerv_evm.TU.Segkk3637_pilon.63",61.9424797486448,0.960815016830059,0.269074743869694,3.57081085728118,0.000355877819815842,0.0271776986700309,"CvsT2",62,190,220,34,64,46,46,154,50,33,25,70,22
"Acerv_evm.TU.Segkk966_pilon.1",51.9535074280134,-1.69619769632377,0.333302415696595,-5.08906511457096,3.59833051611068e-07,0.000141445679113725,"CvsT2",75,31,52,39,84,45,42,32,37,53,49,78,25
"Acerv_evm.TU.Segkk2521_pilon.10",73.3939574460158,-0.761060545024546,0.212707814018576,-3.57796232609527,0.000346283348463316,0.0271776986700309,"CvsT2",83,116,109,79,123,60,66,93,44,59,49,94,32
"Acerv_evm.TU.Segkk1656_pilon.3",68.5659955591582,-1.98183700274194,0.561294061768547,-3.53083550625405,0.000414249280557513,0.0304490060611421,"CvsT2",144,40,66,98,185,54,48,49,16,22,69,117,18
"Acerv_evm.TU.Segkk4281_pilon.1",21.7020447335453,-1.79285939053511,0.501857795895541,-3.57244503362917,0.000353663730756865,0.0271776986700309,"CvsT2",44,13,19,21,36,12,19,15,17,28,18,27,5
"Acerv_evm.TU.Segkk2537_pilon.25",270.132645888761,-2.16334884828492,0.577046800485455,-3.74900068151309,0.000177540603134718,0.016896258873063,"CvsT2",150,226,167,254,274,279,232,99,51,225,262,905,204
"Acerv_evm.TU.Segkk2119_pilon.10",50.5261656932498,1.17024544520593,0.282248922594587,4.14614672200832,3.38117208815051e-05,0.00470295028445673,"CvsT2",68,156,149,29,54,22,34,159,38,35,13,49,25
"Acerv_evm.TU.Segkk3087_pilon.2",34.3138867237994,-3.08881107955924,0.397207295633342,-7.77632010669434,7.46646331310124e-15,8.43803685171854e-12,"CvsT2",50,10,15,33,65,39,38,6,31,27,24,62,12
"Acerv_evm.TU.Segkk3540_pilon.3",38.7027136382568,-2.76346370727362,0.689335285226612,-4.00888184095373,6.10069307588636e-05,0.00755566658891625,"CvsT2",13,31,22,16,20,21,189,35,14,28,30,37,10
"Acerv_evm.TU.Segkk2701_pilon.2",107.723289795647,-1.34404101882597,0.334610814813518,-4.01672916511984,5.90114773891237e-05,0.00741003843159816,"CvsT2",108,110,135,100,164,77,176,161,74,37,101,186,29
"Acerv_evm.TU.Segkk4122_pilon.1",43.9319593397779,-1.04263354517972,0.282853462707494,-3.68612614885301,0.000227693518306302,0.02018212842164,"CvsT2",61,44,54,33,68,44,40,31,38,42,23,64,23
"Acerv_evm.TU.Segkk4263_pilon.5",22.3781215413043,-1.9515434920701,0.448397592341291,-4.35226130871976,1.34740531289099e-05,0.00238860616349949,"CvsT2",30,10,17,20,45,23,15,15,10,21,22,33,13
"Acerv_evm.TU.Segkk1851_pilon.3",33.1644365470079,-1.66367654601781,0.389960677346512,-4.26626745378097,1.98770474996372e-05,0.00326742520807673,"CvsT2",40,29,44,36,53,24,43,18,24,38,25,43,8
"Acerv_evm.TU.Segkk3377_pilon.3",440.330484410113,2.01562513737583,0.512075925288754,3.93618414347294,8.27874579827249e-05,0.0093560175952727,"CvsT2",992,1267,1655,115,292,258,311,2214,258,244,71,197,92
"Acerv_evm.TU.Segkk1480_pilon.1",65.430372002291,-1.55995808504783,0.306415695872592,-5.09098621924533,3.56205917764067e-07,0.000141445679113725,"CvsT2",57,51,65,60,129,56,83,53,56,67,40,102,21
"Acerv_evm.TU.Segkk1480_pilon.2",13.0996152623634,-2.07628911783256,0.523508740144337,-3.96610210798029,7.30575746927478e-05,0.00856506358208915,"CvsT2",12,7,6,12,22,12,18,10,10,13,6,24,8
"Acerv_evm.TU.Segkk3158_pilon.3",18.5150051134661,-1.78228960219861,0.434795732164726,-4.09914235663053,4.14683926510021e-05,0.00543356141967696,"CvsT2",14,13,15,21,33,17,18,12,16,17,11,29,11
